rank,cancerGroup,cancerGroupLabel,nEligibleSamples,nWesWgsSamples,nTargetedSamples,nCallableSampleGenePairs,nUnassayedSampleGenePairs,nMutatedSampleGenePairs,callableFractionPct,targetedFractionPct,assayStratum
1,BRCA,Breast cancer,12717,3577,9140,8083509,8969988,72754,47.40088792,71.87229693,Mixed WES/WGS and targeted panel
2,COADREAD,Colorectal cancer,11259,4524,6721,9142980,5955339,209571,60.55627782,59.69446665,Mixed WES/WGS and targeted panel
3,LUAD,Lung adenocarcinoma,10289,3921,6368,8173491,5624058,105835,59.23871696,61.89134027,Mixed WES/WGS and targeted panel
4,SARC,Soft-tissue sarcoma,9238,1385,7853,4649568,7738590,19460,37.53235953,85.0075774,Mixed WES/WGS and targeted panel
5,PRAD,Prostate cancer,6748,2900,3848,5610191,3438877,31451,61.99744548,57.0243035,Mixed WES/WGS and targeted panel
6,PAAD,Pancreatic cancer,5823,2185,3638,4639056,3169587,28391,59.40924691,62.47638674,Mixed WES/WGS and targeted panel
7,UCEC,Endometrial cancer,5045,1010,4021,3236742,3528603,121932,47.84297031,79.70267592,Mixed WES/WGS and targeted panel
8,MDS,Myelodysplastic syndrome,4276,41,4235,607432,5126684,14796,10.59329808,99.04115996,Mixed WES/WGS and targeted panel
9,AML,Acute myeloid leukaemia,4205,2381,1824,3429900,2209005,13223,60.82563902,43.37693222,Mixed WES/WGS and targeted panel
10,BLCA,Bladder and urinary tract cancer,4170,1515,2644,3190887,2401083,64306,57.06194776,63.40527578,Mixed WES/WGS and targeted panel
11,OV,Ovarian cancer,3350,1115,2235,2532783,1959567,17913,56.37991252,66.71641791,Mixed WES/WGS and targeted panel
12,SKCM,Cutaneous and unspecified melanoma,3091,1658,1433,2866865,1278166,104061,69.16389769,46.36040116,Mixed WES/WGS and targeted panel
13,HCC,Hepatocellular carcinoma,2985,2675,310,3727975,274910,26632,93.1322034,10.38525963,Mixed WES/WGS and targeted panel
14,CLL,Chronic lymphocytic leukaemia/small lymphocytic lymphoma,2699,2486,213,3418956,200403,8761,94.46302508,7.891811782,Mixed WES/WGS and targeted panel
15,CCRCC,Clear-cell renal cell carcinoma,2625,1979,646,2947155,572970,9899,83.7230212,24.60952381,Mixed WES/WGS and targeted panel
16,CHOL,Cholangiocarcinoma,2591,1624,967,2616820,857711,13643,75.31433739,37.32149749,Mixed WES/WGS and targeted panel
