analysisLayer,gene,compound,omittedLineage,effect,ciLow,ciHigh,p,nMutant,nComparator,context
CRISPR same-gene dependency,KRAS,,Adrenal Gland,-1.224490717,-1.358532345,-1.090449089,1.349917548e-62,177,853,KRAS
CRISPR same-gene dependency,KRAS,,Ampulla of Vater,-1.215975537,-1.351037601,-1.080913474,4.877904231e-61,175,850,KRAS
CRISPR same-gene dependency,KRAS,,Biliary Tract,-1.220796414,-1.360298699,-1.08129413,5.826415539e-58,165,831,KRAS
CRISPR same-gene dependency,KRAS,,Bladder/Urinary Tract,-1.224559332,-1.359991415,-1.08912725,2.869630629e-61,176,820,KRAS
CRISPR same-gene dependency,KRAS,,Bone,-1.237746588,-1.370543039,-1.104950138,2.779636125e-64,176,796,KRAS
CRISPR same-gene dependency,KRAS,,Bowel,-1.216722046,-1.366003214,-1.067440877,3.717450728e-51,143,824,KRAS
CRISPR same-gene dependency,KRAS,,Breast,-1.217928087,-1.354521102,-1.081335071,1.077423544e-59,174,803,KRAS
CRISPR same-gene dependency,KRAS,,CNS/Brain,-1.227997134,-1.364258351,-1.091735917,1.794055007e-60,175,764,KRAS
CRISPR same-gene dependency,KRAS,,Cervix,-1.221757221,-1.35816037,-1.085354072,2.051857506e-60,175,837,KRAS
CRISPR same-gene dependency,KRAS,,Esophagus/Stomach,-1.216389087,-1.354609038,-1.078169135,2.892630466e-58,169,792,KRAS
CRISPR same-gene dependency,KRAS,,Eye,-1.213667834,-1.348880223,-1.078455445,1.180058437e-60,175,840,KRAS
CRISPR same-gene dependency,KRAS,,Fibroblast,-1.224490717,-1.358532345,-1.090449089,1.349917548e-62,177,853,KRAS
CRISPR same-gene dependency,KRAS,,Head and Neck,-1.224490717,-1.358532345,-1.090449089,1.349917548e-62,177,853,KRAS
CRISPR same-gene dependency,KRAS,,Kidney,-1.224490717,-1.358532345,-1.090449089,1.349917548e-62,177,853,KRAS
CRISPR same-gene dependency,KRAS,,Liver,-1.224490717,-1.358532345,-1.090449089,1.349917548e-62,177,853,KRAS
CRISPR same-gene dependency,KRAS,,Lung,-1.266783756,-1.431048941,-1.102518571,3.435937826e-46,139,765,KRAS
CRISPR same-gene dependency,KRAS,,Lymphoid,-1.230310361,-1.371054193,-1.089566529,2.099167329e-57,172,762,KRAS
CRISPR same-gene dependency,KRAS,,Myeloid,-1.229536437,-1.36457344,-1.094499435,6.569949182e-62,174,811,KRAS
CRISPR same-gene dependency,KRAS,,Other,-1.224490717,-1.358532345,-1.090449089,1.349917548e-62,177,853,KRAS
CRISPR same-gene dependency,KRAS,,Ovary/Fallopian Tube,-1.20202826,-1.341075889,-1.062980632,1.347231448e-56,168,803,KRAS
CRISPR same-gene dependency,KRAS,,Pancreas,-1.209899895,-1.346532721,-1.073267068,4.895962313e-59,132,850,KRAS
CRISPR same-gene dependency,KRAS,,Peripheral Nervous System,-1.234392625,-1.368354014,-1.100431237,3.760816106e-63,176,807,KRAS
CRISPR same-gene dependency,KRAS,,Pleura,-1.224490717,-1.358532345,-1.090449089,1.349917548e-62,177,853,KRAS
CRISPR same-gene dependency,KRAS,,Prostate,-1.224490717,-1.358532345,-1.090449089,1.349917548e-62,177,853,KRAS
CRISPR same-gene dependency,KRAS,,Skin,-1.221251428,-1.356573304,-1.085929552,9.49574698e-61,176,779,KRAS
CRISPR same-gene dependency,KRAS,,Soft Tissue,-1.202427691,-1.330581149,-1.074274233,4.403439193e-65,176,805,KRAS
CRISPR same-gene dependency,KRAS,,Testis,-1.224490717,-1.358532345,-1.090449089,1.349917548e-62,177,853,KRAS
CRISPR same-gene dependency,KRAS,,Thyroid,-1.217444053,-1.352074408,-1.082813697,1.87646375e-61,176,843,KRAS
CRISPR same-gene dependency,KRAS,,Uterus,-1.271906653,-1.408535376,-1.135277931,2.338103765e-64,171,825,KRAS
CRISPR same-gene dependency,KRAS,,Vulva/Vagina,-1.224490717,-1.358532345,-1.090449089,1.349917548e-62,177,853,KRAS
CRISPR same-gene dependency,TP53,,Adrenal Gland,-0.4519189323,-0.5114323907,-0.3924054739,4.18209878e-46,626,574,TP53
CRISPR same-gene dependency,TP53,,Ampulla of Vater,-0.4542490455,-0.5139706403,-0.3945274506,3.154979999e-46,624,571,TP53
CRISPR same-gene dependency,TP53,,Biliary Tract,-0.4407410052,-0.4967878221,-0.3846941882,6.398337005e-49,607,559,TP53
CRISPR same-gene dependency,TP53,,Bladder/Urinary Tract,-0.4503805308,-0.5104935964,-0.3902674651,6.324594432e-45,602,564,TP53
CRISPR same-gene dependency,TP53,,Bone,-0.4599305891,-0.521092797,-0.3987683813,3.836589686e-45,608,534,TP53
CRISPR same-gene dependency,TP53,,Bowel,-0.4573593918,-0.5186950008,-0.3960237828,1.842443365e-44,583,554,TP53
CRISPR same-gene dependency,TP53,,Breast,-0.4647101968,-0.5266008937,-0.4028194999,4.867230096e-45,594,553,TP53
CRISPR same-gene dependency,TP53,,CNS/Brain,-0.4060796247,-0.4662469754,-0.345912274,3.266858455e-37,570,539,TP53
CRISPR same-gene dependency,TP53,,Cervix,-0.4541045039,-0.5142540721,-0.3939549357,1.390521398e-45,622,560,TP53
CRISPR same-gene dependency,TP53,,Esophagus/Stomach,-0.4589147965,-0.5199555839,-0.3978740091,4.33794563e-45,571,560,TP53
CRISPR same-gene dependency,TP53,,Eye,-0.4537884436,-0.5133784712,-0.3941984161,2.709168123e-46,625,560,TP53
CRISPR same-gene dependency,TP53,,Fibroblast,-0.4519189323,-0.5114323907,-0.3924054739,4.18209878e-46,626,574,TP53
CRISPR same-gene dependency,TP53,,Head and Neck,-0.4730727916,-0.5363285108,-0.4098170723,1.197611721e-44,579,544,TP53
CRISPR same-gene dependency,TP53,,Kidney,-0.4422274444,-0.5018683074,-0.3825865814,4.165822926e-44,619,546,TP53
CRISPR same-gene dependency,TP53,,Liver,-0.4528558206,-0.5133803786,-0.3923312625,7.58757034e-45,611,564,TP53
CRISPR same-gene dependency,TP53,,Lung,-0.4692648271,-0.5326490252,-0.4058806289,1.059880583e-43,539,535,TP53
CRISPR same-gene dependency,TP53,,Lymphoid,-0.4735666821,-0.5377942241,-0.4093391401,1.738130523e-43,579,525,TP53
CRISPR same-gene dependency,TP53,,Myeloid,-0.4534141409,-0.514753441,-0.3920748408,7.756225047e-44,600,555,TP53
CRISPR same-gene dependency,TP53,,Other,-0.4519189323,-0.5114323907,-0.3924054739,4.18209878e-46,626,574,TP53
CRISPR same-gene dependency,TP53,,Ovary/Fallopian Tube,-0.4433862052,-0.5049208181,-0.3818515922,7.281501092e-42,600,541,TP53
CRISPR same-gene dependency,TP53,,Pancreas,-0.4645580923,-0.5246377766,-0.4044784081,1.914198994e-47,593,559,TP53
CRISPR same-gene dependency,TP53,,Peripheral Nervous System,-0.4449640928,-0.5064561434,-0.3834720422,3.265056732e-42,609,544,TP53
CRISPR same-gene dependency,TP53,,Pleura,-0.4480452194,-0.5079236631,-0.3881667758,7.311120462e-45,623,556,TP53
CRISPR same-gene dependency,TP53,,Prostate,-0.451650139,-0.5114795772,-0.3918207008,1.335317062e-45,624,566,TP53
CRISPR same-gene dependency,TP53,,Skin,-0.4306858744,-0.4924439417,-0.3689278071,1.795676888e-39,607,518,TP53
CRISPR same-gene dependency,TP53,,Soft Tissue,-0.4523050402,-0.5122371829,-0.3923728975,1.854140631e-45,613,538,TP53
CRISPR same-gene dependency,TP53,,Testis,-0.4519189323,-0.5114323907,-0.3924054739,4.18209878e-46,626,574,TP53
CRISPR same-gene dependency,TP53,,Thyroid,-0.452293508,-0.5121450296,-0.3924419864,1.10568426e-45,617,572,TP53
CRISPR same-gene dependency,TP53,,Uterus,-0.4478289884,-0.508782624,-0.3868753528,2.121834241e-43,606,560,TP53
CRISPR same-gene dependency,TP53,,Vulva/Vagina,-0.4505391878,-0.5100452906,-0.3910330851,7.289828637e-46,625,573,TP53
CRISPR same-gene dependency,NRAS,,Adrenal Gland,-1.35343868,-1.544697751,-1.162179608,1.760968091e-39,62,759,NRAS
CRISPR same-gene dependency,NRAS,,Ampulla of Vater,-1.35343868,-1.544697751,-1.162179608,1.760968091e-39,62,759,NRAS
CRISPR same-gene dependency,NRAS,,Biliary Tract,-1.35343868,-1.544697751,-1.162179608,1.760968091e-39,62,759,NRAS
CRISPR same-gene dependency,NRAS,,Bladder/Urinary Tract,-1.35894285,-1.557474314,-1.160411386,3.854601366e-37,59,728,NRAS
CRISPR same-gene dependency,NRAS,,Bone,-1.368202322,-1.560753499,-1.175651145,1.771905748e-39,61,702,NRAS
CRISPR same-gene dependency,NRAS,,Bowel,-1.35343868,-1.544697751,-1.162179608,1.760968091e-39,62,759,NRAS
CRISPR same-gene dependency,NRAS,,Breast,-1.35343868,-1.544697751,-1.162179608,1.760968091e-39,62,759,NRAS
CRISPR same-gene dependency,NRAS,,CNS/Brain,-1.349953359,-1.550927235,-1.148979483,1.057035785e-35,59,671,NRAS
CRISPR same-gene dependency,NRAS,,Cervix,-1.35343868,-1.544697751,-1.162179608,1.760968091e-39,62,759,NRAS
CRISPR same-gene dependency,NRAS,,Esophagus/Stomach,-1.361697004,-1.555886625,-1.167507383,1.54124064e-38,61,691,NRAS
CRISPR same-gene dependency,NRAS,,Eye,-1.35343868,-1.544697751,-1.162179608,1.760968091e-39,62,759,NRAS
CRISPR same-gene dependency,NRAS,,Fibroblast,-1.35343868,-1.544697751,-1.162179608,1.760968091e-39,62,759,NRAS
CRISPR same-gene dependency,NRAS,,Head and Neck,-1.35343868,-1.544697751,-1.162179608,1.760968091e-39,62,759,NRAS
CRISPR same-gene dependency,NRAS,,Kidney,-1.35343868,-1.544697751,-1.162179608,1.760968091e-39,62,759,NRAS
CRISPR same-gene dependency,NRAS,,Liver,-1.356135538,-1.551633434,-1.160637642,4.830117207e-38,59,737,NRAS
CRISPR same-gene dependency,NRAS,,Lung,-1.341929406,-1.54491177,-1.138947042,1.40070417e-34,58,637,NRAS
CRISPR same-gene dependency,NRAS,,Lymphoid,-1.375207434,-1.606140872,-1.144273997,5.288592566e-29,48,677,NRAS
CRISPR same-gene dependency,NRAS,,Myeloid,-1.37701722,-1.580035483,-1.173998957,1.63269003e-36,51,725,NRAS
CRISPR same-gene dependency,NRAS,,Other,-1.35343868,-1.544697751,-1.162179608,1.760968091e-39,62,759,NRAS
CRISPR same-gene dependency,NRAS,,Ovary/Fallopian Tube,-1.345271055,-1.531860171,-1.158681939,1.827849236e-40,60,702,NRAS
CRISPR same-gene dependency,NRAS,,Pancreas,-1.35343868,-1.544697751,-1.162179608,1.760968091e-39,62,759,NRAS
CRISPR same-gene dependency,NRAS,,Peripheral Nervous System,-1.316006798,-1.500052147,-1.131961449,5.807408918e-40,60,714,NRAS
CRISPR same-gene dependency,NRAS,,Pleura,-1.35343868,-1.544697751,-1.162179608,1.760968091e-39,62,759,NRAS
CRISPR same-gene dependency,NRAS,,Prostate,-1.35343868,-1.544697751,-1.162179608,1.760968091e-39,62,759,NRAS
CRISPR same-gene dependency,NRAS,,Skin,-1.333549618,-1.548848523,-1.118250713,4.091933e-31,51,695,NRAS
CRISPR same-gene dependency,NRAS,,Soft Tissue,-1.333296625,-1.529247826,-1.137345425,1.074962699e-36,60,712,NRAS
CRISPR same-gene dependency,NRAS,,Testis,-1.35343868,-1.544697751,-1.162179608,1.760968091e-39,62,759,NRAS
CRISPR same-gene dependency,NRAS,,Thyroid,-1.36458961,-1.561379147,-1.167800072,4.425839088e-38,59,751,NRAS
CRISPR same-gene dependency,NRAS,,Uterus,-1.372698302,-1.563537864,-1.181858741,1.943096953e-40,61,726,NRAS
CRISPR same-gene dependency,NRAS,,Vulva/Vagina,-1.350375252,-1.543299475,-1.157451028,9.696038232e-39,61,758,NRAS
CRISPR same-gene dependency,BRAF,,Adrenal Gland,-0.8209276894,-0.9601642851,-0.6816910938,6.803927906e-29,91,791,BRAF
CRISPR same-gene dependency,BRAF,,Ampulla of Vater,-0.8320161798,-0.9720710545,-0.6919613051,2.855108541e-29,90,787,BRAF
CRISPR same-gene dependency,BRAF,,Biliary Tract,-0.78652781,-0.9201839377,-0.6528716823,1.001016229e-28,89,759,BRAF
CRISPR same-gene dependency,BRAF,,Bladder/Urinary Tract,-0.8209276894,-0.9601642851,-0.6816910938,6.803927906e-29,91,791,BRAF
CRISPR same-gene dependency,BRAF,,Bone,-0.8235657642,-0.9655725508,-0.6815589775,5.990163361e-28,90,734,BRAF
CRISPR same-gene dependency,BRAF,,Bowel,-0.8464590169,-1.015398261,-0.6775197733,1.253385222e-21,78,741,BRAF
