analysisLayer,context,nOmittedLineages,minimumEffect,maximumEffect,medianEffect,allEffectsSameDirection
CRISPR same-gene dependency,KRAS,30,-1.271906653,-1.20202826,-1.224490717,True
CRISPR same-gene dependency,TP53,30,-0.4735666821,-0.4060796247,-0.4521062202,True
CRISPR same-gene dependency,NRAS,30,-1.37701722,-1.316006798,-1.35343868,True
CRISPR same-gene dependency,BRAF,30,-0.8593052726,-0.6712702899,-0.8209276894,True
CRISPR same-gene dependency,PIK3CA,30,-0.5480734613,-0.4619497047,-0.5183522503,True
CRISPR same-gene dependency,CTNNB1,30,-0.6946715269,-0.5183374096,-0.6194710657,True
CRISPR same-gene dependency,PTEN,30,-0.2730536098,-0.2386372667,-0.2528625691,True
CRISPR same-gene dependency,HRAS,30,-1.016320154,-0.8298664406,-0.9395158264,True
CRISPR same-gene dependency,PIK3R1,30,-0.4343763779,-0.220027215,-0.3525729791,True
CRISPR same-gene dependency,NFE2L2,30,-0.550790108,-0.3926243334,-0.4534211435,True
CRISPR same-gene dependency,FBXW7,30,-0.1815529208,-0.1154658941,-0.1512100089,True
CRISPR same-gene dependency,RB1,30,-0.1668690957,-0.123298756,-0.1422333787,True
CRISPR same-gene dependency,RAC1,30,-0.3335463646,-0.2359682745,-0.2862442598,True
CRISPR same-gene dependency,CREBBP,30,-0.2161077226,-0.1568033745,-0.1943129872,True
CRISPR same-gene dependency,RHOA,30,-0.3091022708,-0.2278499246,-0.2677265115,True
CRISPR same-gene dependency,ARID1A,30,0.107084964,0.1836224134,0.135087004,True
CRISPR same-gene dependency,ERBB2,30,-0.5912286975,-0.3441328982,-0.4785313821,True
CRISPR same-gene dependency,SMAD4,30,-0.09545587963,-0.06530818852,-0.0815971291,True
CRISPR same-gene dependency,ERBB3,30,-0.1410311833,-0.04663960948,-0.1200367786,True
CRISPR same-gene dependency,EGFR,30,-0.5148915044,-0.1605109957,-0.3959842547,True
CRISPR same-gene dependency,STK11,30,0.07302717817,0.1296339505,0.108162245,True
CRISPR same-gene dependency,ALK,29,-0.3261740183,-0.2869228218,-0.2869228218,True
CRISPR same-gene dependency,CDKN2A,30,-0.04196113496,-0.01783429989,-0.03469957719,True
CRISPR same-gene dependency,EZH2,29,-0.3104491999,-0.2357082524,-0.2357082524,True
CRISPR same-gene dependency,TERT,30,-0.01812592487,-0.007707643337,-0.01146586486,True
CRISPR same-gene dependency,NF1,30,-0.07972941858,-0.01655052589,-0.0459294555,True
CRISPR same-gene dependency,APC,30,-0.07938594021,0.03012387904,-0.05169649835,False
CRISPR same-gene dependency,VHL,29,-0.1972154793,0.04978415927,-0.1665467378,False
CRISPR same-gene dependency,SMARCA4,30,0.0005254363783,0.06887427601,0.04122847947,True
CRISPR same-gene dependency,CASP8,30,-0.03852145924,0.008760011797,-0.01784308165,False
CRISPR same-gene dependency,ATM,30,-0.06834309345,0.0177242376,-0.02110131978,False
PRISM drug response,BRAF — DABRAFENIB,25,0.1457669112,0.2059017158,0.1793753351,True
PRISM drug response,BRAF — ENCORAFENIB,25,0.1177931342,0.183765607,0.155628297,True
PRISM drug response,BRAF — VEMURAFENIB,25,0.08930275324,0.1087854422,0.1018920431,True
PRISM drug response,FBXW7 — BERZOSERTIB,25,0.03490754676,0.05990746262,0.04437888813,True
PRISM drug response,KRAS — BINIMETINIB,25,0.05267266253,0.06428942092,0.0593554317,True
PRISM drug response,KRAS — TRAMETINIB,25,0.09417502883,0.1383528755,0.1222712484,True
PRISM drug response,NRAS — BINIMETINIB,25,0.08826748364,0.148997472,0.1046678818,True
PRISM drug response,NRAS — TRAMETINIB,25,0.08955093211,0.113183525,0.1029722605,True
PRISM drug response,PIK3CA — ALPELISIB,25,0.05556504906,0.06053436378,0.05803044972,True
PRISM drug response,PIK3CA — COPANLISIB,25,0.1049664805,0.1180100857,0.1131886689,True
PRISM drug response,PIK3CA — TASELISIB,25,0.09295317746,0.1069603703,0.1017643998,True
PRISM drug response,PIK3R1 — MLN0128,25,0.08821393273,0.120713812,0.09963270315,True
PRISM drug response,RAC1 — RKI-1447,20,0.04753655081,0.04753655081,0.04753655081,True
PRISM drug response,STK11 — EVEROLIMUS,24,0.1198052689,0.1475957889,0.1348972426,True
PRISM drug response,TP53 — (+)-CAMPTOTHECIN,25,0.06697849087,0.08980832154,0.07885342689,True
