analysisLayer,gene,compoundId,compound,nModels,nCanonicalHotspot,nOtherAlteration,nNoRetainedAlteration,nInformativeLineages,hotspotVsUnalteredEffect,hotspotVsUnalteredStandardError,hotspotVsUnalteredCiLow,hotspotVsUnalteredCiHigh,hotspotVsUnalteredP,otherVsUnalteredEffect,otherVsUnalteredStandardError,otherVsUnalteredCiLow,otherVsUnalteredCiHigh,otherVsUnalteredP,referenceGroup,hotspotVsUnalteredFdr,hotspotVsUnalteredSensitisation,hotspotVsUnalteredSensitisationCiLow,hotspotVsUnalteredSensitisationCiHigh
CRISPR same-gene dependency,TP53,,,1198,625,161,412,25,-0.6707959265,0.03784845958,-0.7449775441,-0.5966143088,2.776447808e-70,-0.6454275361,0.0431963391,-0.730090805,-0.5607642672,1.763677546e-50,no retained hotspot or damaging alteration in the tested gene,5.275250835e-69,,,
CRISPR same-gene dependency,BRAF,,,882,91,5,786,17,-0.8205287618,0.07095906761,-0.9596059787,-0.6814515449,6.315055074e-31,0.05764072426,0.06021333242,-0.06037523868,0.1756566872,0.3384284161,no retained hotspot or damaging alteration in the tested gene,5.99930232e-30,,,
CRISPR same-gene dependency,PTEN,,,841,50,63,728,16,-0.2868803901,0.04428188755,-0.3736712948,-0.2000894853,9.263641442e-11,-0.2393433402,0.0427551872,-0.3231419672,-0.1555447131,2.168445371e-08,no retained hotspot or damaging alteration in the tested gene,5.866972914e-10,,,
CRISPR same-gene dependency,PIK3R1,,,443,19,12,412,7,-0.3626601568,0.09369082817,-0.5462908057,-0.179029508,0.0001084706954,-0.2150307444,0.1399190085,-0.4892669619,0.05920547312,0.1243366702,no retained hotspot or damaging alteration in the tested gene,0.0005139388385,,,
CRISPR same-gene dependency,FBXW7,,,744,34,22,688,12,-0.150303897,0.04433428319,-0.2371974953,-0.06341029864,0.0006983124845,0.01394764712,0.05379692686,-0.09149239201,0.1193876862,0.7954309705,no retained hotspot or damaging alteration in the tested gene,0.002211322868,,,
CRISPR same-gene dependency,RB1,,,492,18,39,435,7,-0.1607959733,0.04212955343,-0.2433683807,-0.07822356587,0.0001352470628,-0.1926653149,0.02969323492,-0.250862986,-0.1344676439,8.668042921e-11,no retained hotspot or damaging alteration in the tested gene,0.0005139388385,,,
CRISPR same-gene dependency,CREBBP,,,514,10,29,475,7,-0.2007741774,0.07063795787,-0.3392220307,-0.06232632401,0.004478950289,-0.111121629,0.09423362181,-0.2958161339,0.07357287588,0.238312876,no retained hotspot or damaging alteration in the tested gene,0.01063750694,,,
CRISPR same-gene dependency,ARID1A,,,355,11,54,290,6,0.1700808617,0.05527097772,0.06175173595,0.2784099874,0.002089422535,0.136548098,0.03809349828,0.06188621335,0.2112099827,0.0003376582204,no retained hotspot or damaging alteration in the tested gene,0.005671289737,,,
CRISPR same-gene dependency,SMAD4,,,522,25,36,461,11,-0.08571744047,0.04000445209,-0.1641247258,-0.007310155164,0.03213739425,-0.05041047055,0.03021674963,-0.1096342116,0.008813270453,0.09525706032,no retained hotspot or damaging alteration in the tested gene,0.06784561009,,,
CRISPR same-gene dependency,ERBB3,,,491,15,7,469,9,-0.1169562903,0.0688504165,-0.251900627,0.01798804636,0.08937548306,0.1068752191,0.04865900006,0.01150533145,0.2022451067,0.02806245657,no retained hotspot or damaging alteration in the tested gene,0.1398742486,,,
CRISPR same-gene dependency,EGFR,,,479,13,10,456,6,-0.3945173567,0.2291932151,-0.8437278039,0.05469309041,0.08519080055,0.07616753209,0.06884672559,-0.05876957053,0.2111046347,0.2685816114,no retained hotspot or damaging alteration in the tested gene,0.1398742486,,,
CRISPR same-gene dependency,STK11,,,307,17,21,269,7,0.1203678337,0.07224742677,-0.02123452079,0.2619701881,0.09570343323,0.1233393695,0.03546091766,0.053837248,0.192841491,0.0005048353219,no retained hotspot or damaging alteration in the tested gene,0.1398742486,,,
CRISPR same-gene dependency,CDKN2A,,,1021,73,66,882,19,-0.0463436097,0.02598280673,-0.0972689751,0.004581755701,0.07448445744,-0.09544717779,0.01880885649,-0.1323118591,-0.05858249647,3.883386192e-07,no retained hotspot or damaging alteration in the tested gene,0.1398742486,,,
CRISPR same-gene dependency,NF1,,,337,16,30,291,6,-0.05657276886,0.0552789852,-0.164917589,0.05177205123,0.3061165757,-0.1134435965,0.03896223304,-0.18980817,-0.03707902294,0.003595485556,no retained hotspot or damaging alteration in the tested gene,0.4154439242,,,
CRISPR same-gene dependency,APC,,,599,35,37,527,8,-0.06302989365,0.06754547357,-0.1954165892,0.06935680186,0.3507437875,-0.02984904694,0.07056441245,-0.1681527539,0.10845466,0.6722921543,no retained hotspot or damaging alteration in the tested gene,0.4442754641,,,
CRISPR same-gene dependency,VHL,,,182,10,13,159,3,0.06093388377,0.3490984177,-0.623286442,0.7451542096,0.8614360421,0.6213185994,0.19987417,0.2295724248,1.013064774,0.00188008632,no retained hotspot or damaging alteration in the tested gene,0.8614360421,,,
CRISPR same-gene dependency,SMARCA4,,,513,13,37,463,9,0.05144936581,0.09292801149,-0.1306861899,0.2335849215,0.5798200778,0.1339367197,0.07924583423,-0.02138226129,0.2892557007,0.09100077455,no retained hotspot or damaging alteration in the tested gene,0.6655116806,,,
CRISPR same-gene dependency,CASP8,,,314,11,7,296,7,-0.02277602074,0.04289724565,-0.1068530772,0.06130103577,0.5954578195,-0.1352373,0.06746830763,-0.2674727531,-0.003001846955,0.04502116279,no retained hotspot or damaging alteration in the tested gene,0.6655116806,,,
CRISPR same-gene dependency,ATM,,,367,11,21,335,7,-0.02687789391,0.0777263795,-0.1792187984,0.1254630106,0.7294919433,-0.0891223969,0.04509504272,-0.1775070565,-0.0007377372933,0.04811813902,no retained hotspot or damaging alteration in the tested gene,0.7700192735,,,
PRISM drug response,FBXW7,DPC-001018,BERZOSERTIB,305,16,11,278,8,-0.04450638258,0.01262022872,-0.06924157635,-0.01977118882,0.0004209467858,-0.001479438994,0.03406828333,-0.06825204733,0.06529316934,0.9653621927,no retained hotspot or damaging alteration in the tested gene,0.0004209467858,0.04450638258,0.01977118882,0.06924157635
PRISM drug response,PIK3R1,DPC-004309,MLN0128,207,13,11,183,5,-0.09653080557,0.0188131236,-0.1334038503,-0.05965776088,2.881525106e-07,0.03926691519,0.03042653239,-0.02036799246,0.09890182284,0.19686029,no retained hotspot or damaging alteration in the tested gene,1.152610042e-06,0.09653080557,0.05965776088,0.1334038503
PRISM drug response,STK11,DPC-002670,EVEROLIMUS,208,10,17,181,5,-0.1386963276,0.03048528494,-0.1984463882,-0.07894626709,5.37440054e-06,-0.04394324683,0.04827587735,-0.1385622278,0.0506757341,0.3626892667,no retained hotspot or damaging alteration in the tested gene,1.074880108e-05,0.1386963276,0.07894626709,0.1984463882
PRISM drug response,TP53,DPC-000001,(+)-CAMPTOTHECIN,474,279,65,130,20,-0.0954155913,0.02582178661,-0.1460253631,-0.04480581952,0.0002197497596,-0.04342557602,0.03466681461,-0.1113712841,0.02452013209,0.2103311072,no retained hotspot or damaging alteration in the tested gene,0.0002929996795,0.0954155913,0.04480581952,0.1460253631
