cancer,pair,selectionSource,omittedStudyId,omittedNJointlyAssayCovered,remainingNJointlyAssayCovered,leaveOneStudyOutOr,leaveOneStudyOutCiLow,leaveOneStudyOutCiHigh,leaveOneStudyOutP,leaveOneStudyOutNStrata,leaveOneStudyOutNInformativeStrata,leaveOneStudyOutEstimable,sameDirectionAsAllStudies,primarySpecification
AML,ASXL1-NPM1,Figure 8 displayed context,all_stjude_2015,10,4195,0.2577958595,0.1409741161,0.4714248758,1.163054056e-06,62,21,True,True,detailed histology + study + exact assay/panel; no burden
AML,ASXL1-NPM1,Figure 8 displayed context,aml_ohsu_2018,532,3673,0.2786271499,0.1498984539,0.5179045325,1.200864389e-05,45,17,True,True,detailed histology + study + exact assay/panel; no burden
AML,ASXL1-NPM1,Figure 8 displayed context,aml_ohsu_2022,770,3435,0.1967665207,0.09987489884,0.3876555985,1.477972442e-07,54,17,True,True,detailed histology + study + exact assay/panel; no burden
AML,ASXL1-NPM1,Figure 8 displayed context,heme_msk_impact_2022,108,4097,0.2680580084,0.1465251789,0.4903941861,2.399247428e-06,59,20,True,True,detailed histology + study + exact assay/panel; no burden
AML,ASXL1-NPM1,Figure 8 displayed context,laml_tcga_pan_can_atlas_2018,200,4005,0.2753188026,0.150318009,0.5042672102,4.284184652e-06,62,20,True,True,detailed histology + study + exact assay/panel; no burden
AML,ASXL1-NPM1,Figure 8 displayed context,mds_mskcc_2020,2575,1630,0.3213635247,0.09912731675,1.041837088,0.02815508602,34,10,True,True,detailed histology + study + exact assay/panel; no burden
AML,ASXL1-NPM1,Figure 8 displayed context,pancan_pcawg_2020,10,4195,0.2577958595,0.1409741161,0.4714248758,1.163054056e-06,62,21,True,True,detailed histology + study + exact assay/panel; no burden
AML,DNMT3A-SRSF2,Figure 8 displayed context,all_stjude_2015,10,4195,0.3620773449,0.257176424,0.5097668039,1.020617741e-09,62,34,True,True,detailed histology + study + exact assay/panel; no burden
AML,DNMT3A-SRSF2,Figure 8 displayed context,aml_ohsu_2018,532,3673,0.3718780066,0.2576979255,0.5366486809,3.346959003e-08,45,25,True,True,detailed histology + study + exact assay/panel; no burden
AML,DNMT3A-SRSF2,Figure 8 displayed context,aml_ohsu_2022,770,3435,0.3701487935,0.2528287635,0.54190879,1.056206348e-07,54,27,True,True,detailed histology + study + exact assay/panel; no burden
AML,DNMT3A-SRSF2,Figure 8 displayed context,heme_msk_impact_2022,108,4097,0.3619483626,0.2549022135,0.5139485272,2.416975363e-09,59,32,True,True,detailed histology + study + exact assay/panel; no burden
AML,DNMT3A-SRSF2,Figure 8 displayed context,laml_tcga_pan_can_atlas_2018,200,4005,0.3659641723,0.2598804069,0.5153515688,1.585253562e-09,62,33,True,True,detailed histology + study + exact assay/panel; no burden
AML,DNMT3A-SRSF2,Figure 8 displayed context,mds_mskcc_2020,2575,1630,0.3181481837,0.1816151291,0.55732288,1.637694341e-05,34,19,True,True,detailed histology + study + exact assay/panel; no burden
