cancer,pair,selectionSource,allStudiesPrimaryOr,allStudiesPrimaryCiLow,allStudiesPrimaryCiHigh,allStudiesPrimaryP,nStudiesWithJointCoverage,nStudiesWithInformativeStrata,nAllStudyStrata,nAllStudyInformativeStrata,studySpecificOrMin,studySpecificOrMax,leaveOneStudyOutOrMin,leaveOneStudyOutOrMax,nLeaveOneStudyOutEstimable,allLeaveOneStudyOutEstimable,leaveOneStudyOutDirectionStableAmongEstimable,leaveOneStudyOutDirectionStable,nFiniteStudyEstimates,heterogeneityQ,heterogeneityDf,heterogeneityP,heterogeneityI2Pct,tau2DerSimonianLaird,fixedEffectOr,fixedEffectCiLow,fixedEffectCiHigh,randomEffectsOr,randomEffectsCiLow,randomEffectsCiHigh,primarySpecification
AML,ASXL1-NPM1,Figure 8 displayed context,0.2577958595,0.1409741161,0.4714248758,1.163054056e-06,7,5,63,21,0.05653866154,2.411678022,0.1967665207,0.3213635247,7,True,True,True,3,9.019696582,2,0.01100012887,77.82630511,1.925155913,0.3164547312,0.170255399,0.5881963065,0.3672506509,0.05958663368,2.263478103,detailed histology + study + exact assay/panel; no burden
AML,DNMT3A-SRSF2,Figure 8 displayed context,0.3620773449,0.257176424,0.5097668039,1.020617741e-09,7,5,63,34,0.3059279757,0.3937859277,0.3181481837,0.3718780066,7,True,True,True,4,0.3051673414,3,0.9590537314,0,0,0.3673578145,0.2607769132,0.517498893,0.3673578145,0.2607769132,0.517498893,detailed histology + study + exact assay/panel; no burden
AML,FLT3-NPM1,Figure 8 displayed context,3.143151283,2.502579382,3.947686958,2.434178878e-25,7,5,63,23,2.420437824,26.66666667,2.903893831,6.760425405,7,True,True,True,5,20.91712296,4,0.0003288778008,80.87691119,0.5996829511,3.09496934,2.452751215,3.905343175,6.181360556,2.773385123,13.7771051,detailed histology + study + exact assay/panel; no burden
AML,NPM1-RUNX1,Figure 8 displayed context; prespecified reference context,0.09400139364,0.0462806614,0.1909277382,6.421581682e-16,7,5,63,17,0.03728732347,3.141176471,0.07993848372,0.1065405421,7,True,True,True,3,6.033866322,2,0.04895111357,66.85375689,3.649237687,0.1170134923,0.0562924836,0.2432324265,0.2846808879,0.01810473617,4.476353988,detailed histology + study + exact assay/panel; no burden
BLCA,FGFR3-RB1,Figure 8 displayed context,0.1726430167,0.1178826574,0.2528413584,1.799129672e-24,35,27,74,40,0.1067318279,14,0.1636128546,0.2428008847,35,True,True,True,13,21.56596548,12,0.04268217751,44.35676896,0.5347732803,0.2136216409,0.1414474144,0.3226231153,0.3129292516,0.1640144293,0.5970493996,detailed histology + study + exact assay/panel; no burden
BLCA,FGFR3-TP53,Figure 8 displayed context,0.214526214,0.1770378244,0.2599529036,1.64638883e-64,35,28,74,47,0.07894736842,2.762376238,0.2018394993,0.2564210938,35,True,True,True,23,36.41873279,22,0.02737106868,39.59152801,0.1841033325,0.2186853167,0.1798534458,0.265901315,0.2560657512,0.1864509823,0.3516724241,detailed histology + study + exact assay/panel; no burden
BLCA,RB1-TP53,Figure 8 displayed context,4.216380619,3.459974868,5.138148746,7.378801235e-52,35,29,74,49,0.5454545455,10.21875,3.947534651,4.410573532,35,True,True,True,20,20.35352204,19,0.3735938731,6.65006303,0.01826704661,4.122470839,3.366671763,5.047942601,4.023566496,3.196330818,5.064897306,detailed histology + study + exact assay/panel; no burden
BRCA,AKT1-PIK3CA,Figure 8 displayed context,0.1909938919,0.1436010751,0.2540278109,2.188773044e-37,39,26,148,61,0.1038757459,3.689649029,0.1773138312,0.21585264,39,True,True,True,10,20.3149222,9,0.01606531453,55.6975906,0.3398687106,0.2243257377,0.1675151829,0.3004028396,0.2743102354,0.1608215489,0.4678857141,detailed histology + study + exact assay/panel; no burden
BRCA,ESR1-TP53,Figure 8 displayed context,0.2831850874,0.2266403118,0.35383729,3.696267101e-32,39,25,142,60,0.07352941176,3,0.2528522679,0.3024463226,39,True,True,True,14,17.77746373,13,0.1661532821,26.87370822,0.10141753,0.3061694692,0.2428936176,0.3859292179,0.3165123829,0.2207133858,0.4538922193,detailed histology + study + exact assay/panel; no burden
BRCA,PIK3CA-TP53,Figure 8 displayed context,0.600695303,0.5542578775,0.6510233984,7.573827069e-36,39,32,148,93,0.1857142857,10.85714286,0.5884432487,0.6272637006,39,True,True,True,29,34.98699224,28,0.1702462965,19.97025693,0.0151803981,0.5991574713,0.5525777706,0.6496636211,0.6313815738,0.5598861448,0.7120067098,detailed histology + study + exact assay/panel; no burden
CCRCC,BAP1-PBRM1,Figure 8 displayed context,0.3315548761,0.2479111452,0.4434194994,1.183265251e-14,15,11,19,16,0.1574344023,0.6785804178,0.3002233894,0.3603375752,15,True,True,True,8,4.351625518,7,0.73850246,0,0,0.3537526087,0.2637507678,0.474466517,0.3537526087,0.2637507678,0.474466517,detailed histology + study + exact assay/panel; no burden
CHOL,BAP1-TP53,Figure 8 displayed context,0.2575842378,0.1714074806,0.3870871874,4.631824207e-12,19,16,44,29,0.1856064495,0.5102040816,0.2317093598,0.2823995501,19,True,True,True,6,1.82512695,5,0.8727740386,0,0,0.2896756842,0.1919756907,0.4370970183,0.2896756842,0.1919756907,0.4370970183,detailed histology + study + exact assay/panel; no burden
COADREAD,APC-BRAF,Figure 8 displayed context,0.2849402295,0.2500780672,0.3246623555,3.882001453e-88,38,29,114,69,0.1282051282,1.767726161,0.2756635831,0.3128846964,38,True,True,True,22,26.74561238,21,0.1794328768,21.48244839,0.03073262998,0.2780941297,0.24391135,0.3170674303,0.2989554836,0.2503121147,0.3570517601,detailed histology + study + exact assay/panel; no burden
COADREAD,APC-KRAS,Figure 8 displayed context,1.882571794,1.721144768,2.05913914,1.076922677e-44,38,33,114,88,0.5648193417,6.857142857,1.752987216,2.039871188,38,True,True,True,28,107.7490887,27,1.328660817e-11,74.94178342,0.2064306809,1.836448275,1.675898051,2.012379132,1.932834358,1.512185818,2.470495763,detailed histology + study + exact assay/panel; no burden
COADREAD,APC-RNF43,Figure 8 displayed context,0.223241944,0.1942178925,0.2566033692,1.249371901e-119,37,29,109,66,0.04137931034,6.166666667,0.2125185282,0.2500753897,37,True,True,True,21,39.8142736,20,0.005272479201,49.76675902,0.1197679304,0.2214340861,0.1926112521,0.2545700418,0.2698337467,0.2094649955,0.3476010427,detailed histology + study + exact assay/panel; no burden
COADREAD,BRAF-KRAS,Figure 8 displayed context; prespecified reference context; prespecified principal context,0.1469247708,0.120739612,0.1787887829,2.538202513e-106,38,29,114,67,0.05128205128,1.406778099,0.1390267108,0.1731282087,38,True,True,True,17,39.6015242,16,0.0008899258201,59.59751469,0.2941663848,0.1618657892,0.1322806256,0.1980678092,0.1988414245,0.1356659109,0.2914358652,detailed histology + study + exact assay/panel; no burden
COADREAD,BRAF-RNF43,Figure 8 displayed context,8.505149094,7.291084465,9.92137198,1.816963093e-200,37,25,109,54,1.217712177,40.95,7.564973138,9.454424392,37,True,True,True,16,57.07462378,15,7.97080401e-07,73.71861783,0.357647354,8.968747647,7.626157188,10.54770212,8.445334042,5.665456581,12.58921784,detailed histology + study + exact assay/panel; no burden
COADREAD,KRAS-NRAS,Figure 8 displayed context,0.1225434131,0.08648409491,0.17363757,4.139352005e-45,38,28,114,54,0.05139839253,0.8068181818,0.111012435,0.1559799798,38,True,True,True,11,14.78780408,10,0.1399917797,32.37670755,0.1848370502,0.1640139973,0.1144765176,0.234987855,0.1717391078,0.1082277619,0.2725208453,detailed histology + study + exact assay/panel; no burden
COADREAD,KRAS-TP53,Figure 8 displayed context,0.5766212967,0.5294950871,0.627941841,4.935750506e-38,38,33,114,87,0.09924487594,7.875,0.5072922687,0.6394284958,38,True,True,True,27,173.6316747,26,8.768276525e-24,85.02577364,0.3409541762,0.5732903249,0.5253643989,0.6255882533,0.6183066733,0.464983382,0.8221866782,detailed histology + study + exact assay/panel; no burden
COADREAD,PIK3CA-TP53,Figure 8 displayed context,0.3978856361,0.3600446142,0.4397037845,1.674491849e-78,38,30,114,78,0.1417787988,24,0.3708703106,0.437664588,38,True,True,True,27,77.23636079,26,5.55249112e-07,66.33709857,0.1567123415,0.3924218787,0.3550870786,0.4336821589,0.4472379745,0.3546931535,0.5639291424,detailed histology + study + exact assay/panel; no burden
