cancerGroup,nEligibleSamples,nDocumentedWesWgs,nTargetedPanel,nStudies,hallmark,nHallmarkGenes,nMutatedDocumentedWesWgs,mutationPctDocumentedWesWgs,mutationCiLowPct,mutationCiHighPct,estimateStatus
BRCA,12717,3577,9140,39,angiogenesis,66,2660,74.36399217,72.90753033,75.76817956,Estimated from documented WES/WGS
BRCA,12717,3577,9140,39,cell division control,93,2435,68.07380486,66.52736249,69.58146877,Estimated from documented WES/WGS
BRCA,12717,3577,9140,39,cell replicative immortality,42,2035,56.89124965,55.2618021,58.5059116,Estimated from documented WES/WGS
BRCA,12717,3577,9140,39,change of cellular energetics,61,2451,68.52110707,66.97993926,70.0225367,Estimated from documented WES/WGS
BRCA,12717,3577,9140,39,differentiation and development,140,2945,82.33156276,81.04717992,83.54657623,Estimated from documented WES/WGS
BRCA,12717,3577,9140,39,escaping immune response to cancer,41,2244,62.73413475,61.13675067,64.30419695,Estimated from documented WES/WGS
BRCA,12717,3577,9140,39,escaping programmed cell death,187,2997,83.78529494,82.54126578,84.95683565,Estimated from documented WES/WGS
BRCA,12717,3577,9140,39,genome instability and mutations,96,2546,71.17696394,69.67054584,72.63794554,Estimated from documented WES/WGS
BRCA,12717,3577,9140,39,global regulation of gene expression,54,1604,44.84204641,43.21864071,46.47651881,Estimated from documented WES/WGS
BRCA,12717,3577,9140,39,invasion and metastasis,190,3073,85.90998043,84.73125652,87.01165725,Estimated from documented WES/WGS
BRCA,12717,3577,9140,39,proliferative signalling,163,2599,72.6586525,71.17428922,74.09440024,Estimated from documented WES/WGS
BRCA,12717,3577,9140,39,suppression of growth,118,2660,74.36399217,72.90753033,75.76817956,Estimated from documented WES/WGS
BRCA,12717,3577,9140,39,tumour promoting inflammation,43,2109,58.96002237,57.33922433,60.56159612,Estimated from documented WES/WGS
COADREAD,11259,4524,6721,38,angiogenesis,66,3814,84.30592396,83.21692261,85.33671444,Estimated from documented WES/WGS
COADREAD,11259,4524,6721,38,cell division control,93,3901,86.22900088,85.19407497,87.20245282,Estimated from documented WES/WGS
COADREAD,11259,4524,6721,38,cell replicative immortality,42,3771,83.35543767,82.24182982,84.41244744,Estimated from documented WES/WGS
COADREAD,11259,4524,6721,38,change of cellular energetics,61,3711,82.02917772,80.88334209,83.1206657,Estimated from documented WES/WGS
COADREAD,11259,4524,6721,38,differentiation and development,140,4043,89.36781609,88.43594403,90.23288818,Estimated from documented WES/WGS
COADREAD,11259,4524,6721,38,escaping immune response to cancer,41,3309,73.14323607,71.83248107,74.41472124,Estimated from documented WES/WGS
COADREAD,11259,4524,6721,38,escaping programmed cell death,187,4065,89.85411141,88.94018825,90.70040944,Estimated from documented WES/WGS
COADREAD,11259,4524,6721,38,genome instability and mutations,96,3971,87.77630416,86.78961956,88.69888928,Estimated from documented WES/WGS
COADREAD,11259,4524,6721,38,global regulation of gene expression,54,2234,49.38107869,47.92534271,50.83786487,Estimated from documented WES/WGS
COADREAD,11259,4524,6721,38,invasion and metastasis,190,4084,90.27409372,89.37617263,91.10367705,Estimated from documented WES/WGS
COADREAD,11259,4524,6721,38,proliferative signalling,163,3631,80.26083112,79.0755122,81.39480296,Estimated from documented WES/WGS
COADREAD,11259,4524,6721,38,suppression of growth,118,4015,88.74889478,87.7950225,89.63701729,Estimated from documented WES/WGS
COADREAD,11259,4524,6721,38,tumour promoting inflammation,43,3683,81.41025641,80.25016695,82.51704841,Estimated from documented WES/WGS
LUAD,10289,3921,6368,36,angiogenesis,66,3329,84.90181076,83.74702671,85.98827416,Estimated from documented WES/WGS
LUAD,10289,3921,6368,36,cell division control,93,2865,73.06809487,71.65750899,74.43352472,Estimated from documented WES/WGS
LUAD,10289,3921,6368,36,cell replicative immortality,42,2731,69.65059934,68.1928547,71.06987772,Estimated from documented WES/WGS
LUAD,10289,3921,6368,36,change of cellular energetics,61,3304,84.26421831,83.09098113,85.37038293,Estimated from documented WES/WGS
LUAD,10289,3921,6368,36,differentiation and development,140,3552,90.58913542,89.63508447,91.46373273,Estimated from documented WES/WGS
LUAD,10289,3921,6368,36,escaping immune response to cancer,41,3001,76.53659781,75.1846039,77.83664605,Estimated from documented WES/WGS
LUAD,10289,3921,6368,36,escaping programmed cell death,187,3584,91.40525376,90.48691426,92.24254205,Estimated from documented WES/WGS
LUAD,10289,3921,6368,36,genome instability and mutations,96,2967,75.66947207,74.30174003,76.98695586,Estimated from documented WES/WGS
LUAD,10289,3921,6368,36,global regulation of gene expression,54,1925,49.09461872,47.53150794,50.65950179,Estimated from documented WES/WGS
LUAD,10289,3921,6368,36,invasion and metastasis,190,3556,90.69115022,89.74144393,91.56120316,Estimated from documented WES/WGS
LUAD,10289,3921,6368,36,proliferative signalling,163,3420,87.22264728,86.14116759,88.23126326,Estimated from documented WES/WGS
LUAD,10289,3921,6368,36,suppression of growth,118,3139,80.05610814,78.7762604,81.27712073,Estimated from documented WES/WGS
LUAD,10289,3921,6368,36,tumour promoting inflammation,43,2661,67.86534047,66.38675784,69.30895152,Estimated from documented WES/WGS
SARC,9238,1385,7853,28,angiogenesis,66,541,39.06137184,36.52553664,41.65771832,Estimated from documented WES/WGS
