cancerGroup,cancerGroupLabel,gene,roleInCancer,cosmicTier,nEligibleSamples,nCallable,nUnassayed,nMutated,prevalencePct,prevalenceCiLowPct,prevalenceCiHighPct,callabilityState
ACC,Adrenocortical carcinoma,APC,TSGs,1,191,191,0,10,5.2356021,2.8684148,9.3679229,Callable in all eligible samples
ACC,Adrenocortical carcinoma,ARID1A,TSGs,1,191,191,0,2,1.0471204,0.28762946,3.7369035,Callable in all eligible samples
ACC,Adrenocortical carcinoma,ASXL1,TSGs,1,191,191,0,1,0.52356021,0.092481097,2.9055763,Callable in all eligible samples
ACC,Adrenocortical carcinoma,ATM,TSGs,1,191,191,0,12,6.2827225,3.6301635,10.659125,Callable in all eligible samples
ACC,Adrenocortical carcinoma,ATRX,TSGs,1,191,191,0,12,6.2827225,3.6301635,10.659125,Callable in all eligible samples
ACC,Adrenocortical carcinoma,BRAF,Oncogenes,1,191,191,0,1,0.52356021,0.092481097,2.9055763,Callable in all eligible samples
ACC,Adrenocortical carcinoma,CDKN2A,TSGs,1,191,191,0,3,1.5706806,0.53558621,4.5154224,Callable in all eligible samples
ACC,Adrenocortical carcinoma,CREBBP,TSGs,1,191,191,0,4,2.0942408,0.81735079,5.2601334,Callable in all eligible samples
ACC,Adrenocortical carcinoma,CSMD3,TSGs,2,191,105,86,4,3.8095238,1.4912459,9.3883021,Callable in a subset of eligible samples
ACC,Adrenocortical carcinoma,CTNNB1,Oncogenes,1,191,191,0,31,16.230366,11.676091,22.116234,Callable in all eligible samples
ACC,Adrenocortical carcinoma,EGFR,Oncogenes,1,191,191,0,5,2.617801,1.1232376,5.9807221,Callable in all eligible samples
ACC,Adrenocortical carcinoma,FAT1,TSGs,1,191,191,0,7,3.6649215,1.7864273,7.3704836,Callable in all eligible samples
ACC,Adrenocortical carcinoma,FAT3,Other,2,191,105,86,7,6.6666667,3.2665885,13.125565,Callable in a subset of eligible samples
ACC,Adrenocortical carcinoma,FAT4,Other,1,191,105,86,8,7.6190476,3.9110652,14.318623,Callable in a subset of eligible samples
ACC,Adrenocortical carcinoma,FBXW7,TSGs,1,191,191,0,0,0,0,1.9715818,Callable in all eligible samples
ACC,Adrenocortical carcinoma,IDH1,Oncogenes,1,191,191,0,0,0,0,1.9715818,Callable in all eligible samples
ACC,Adrenocortical carcinoma,KMT2C,TSGs,1,191,191,0,5,2.617801,1.1232376,5.9807221,Callable in all eligible samples
ACC,Adrenocortical carcinoma,KMT2D,TSGs,1,191,191,0,8,4.1884817,2.1374009,8.0459856,Callable in all eligible samples
ACC,Adrenocortical carcinoma,KRAS,Oncogenes,1,191,191,0,1,0.52356021,0.092481097,2.9055763,Callable in all eligible samples
ACC,Adrenocortical carcinoma,LRP1B,TSGs,1,191,105,86,4,3.8095238,1.4912459,9.3883021,Callable in a subset of eligible samples
ACC,Adrenocortical carcinoma,MUC16,Oncogenes,2,191,105,86,15,14.285714,8.8524808,22.239953,Callable in a subset of eligible samples
ACC,Adrenocortical carcinoma,NF1,TSGs,1,191,191,0,15,7.8534031,4.8167848,12.551931,Callable in all eligible samples
ACC,Adrenocortical carcinoma,NRAS,Oncogenes,1,191,191,0,1,0.52356021,0.092481097,2.9055763,Callable in all eligible samples
ACC,Adrenocortical carcinoma,PCLO,Other,,191,105,86,1,0.95238095,0.16831692,5.1986259,Callable in a subset of eligible samples
ACC,Adrenocortical carcinoma,PIK3CA,Oncogenes,1,191,191,0,2,1.0471204,0.28762946,3.7369035,Callable in all eligible samples
ACC,Adrenocortical carcinoma,PTEN,TSGs,1,191,191,0,0,0,0,1.9715818,Callable in all eligible samples
ACC,Adrenocortical carcinoma,RB1,TSGs,1,191,191,0,7,3.6649215,1.7864273,7.3704836,Callable in all eligible samples
ACC,Adrenocortical carcinoma,RNF43,TSGs,1,191,191,0,5,2.617801,1.1232376,5.9807221,Callable in all eligible samples
ACC,Adrenocortical carcinoma,SETD2,TSGs,1,191,191,0,6,3.1413613,1.4475082,6.6829271,Callable in all eligible samples
ACC,Adrenocortical carcinoma,SF3B1,Oncogenes,1,191,191,0,2,1.0471204,0.28762946,3.7369035,Callable in all eligible samples
ACC,Adrenocortical carcinoma,SMAD4,TSGs,1,191,191,0,0,0,0,1.9715818,Callable in all eligible samples
ACC,Adrenocortical carcinoma,TET2,TSGs,1,191,191,0,3,1.5706806,0.53558621,4.5154224,Callable in all eligible samples
ACC,Adrenocortical carcinoma,TP53,TSGs,1,191,191,0,42,21.989529,16.700052,28.383504,Callable in all eligible samples
