gene,nMutationRecords,nTierMatched,pctTierMatched,tierMatchedCiLowPct,tierMatchedCiHighPct,nCMCtier1,nCMCtier2,nCMCtier3,nCMCother,nNotrepresented
TP53,53857,42932,79.7148003,79.37307205,80.05228992,14772,11909,16251,4401,6524
KRAS,16965,16434,96.87002653,96.59720977,97.12162212,14521,1078,835,364,167
PIK3CA,16692,13366,80.07428708,79.46143288,80.67330202,10011,2268,1087,2486,840
MUC16,14308,91,0.6360078278,0.5183449266,0.7801704276,0,25,66,9798,4419
APC,17072,11527,67.51991565,66.813568,68.21838058,5490,462,5575,2470,3075
LRP1B,8911,554,6.217035125,5.734307461,6.737495475,0,0,554,5020,3337
KMT2D,14364,4181,29.10749095,28.37028496,29.85586879,1,0,4180,4347,5836
ARID1A,13745,7404,53.86686068,53.03251603,54.6990445,0,230,7174,1932,4409
CSMD3,6775,574,8.472324723,7.832540432,9.159175126,0,0,574,4345,1856
FAT3,5424,0,0,0,0.07077323186,0,0,0,3222,2202
FAT4,5582,277,4.962379076,4.423006752,5.563697363,0,0,277,3174,2131
KMT2C,10163,2114,20.8009446,20.02293717,21.60101729,0,0,2114,3500,4549
PCLO,5704,2,0.0350631136,0.009616097124,0.1277643623,0,0,2,4004,1698
PTEN,10645,6917,64.97886332,64.06740225,65.87951745,1579,1241,4097,1589,2139
ATM,7934,1832,23.0904966,22.17637701,24.03066149,684,8,1140,2892,3210
FAT1,8299,1278,15.39944572,14.6389101,16.19199847,0,0,1278,3331,3690
NF1,8353,2355,28.19346343,27.23875547,29.16821936,1135,3,1217,1352,4646
EGFR,7055,2480,35.1523742,34.04662881,36.27427991,1509,495,476,3335,1240
RB1,6497,2790,42.94289672,41.7437876,44.15034617,1036,32,1722,832,2875
BRAF,6068,4382,72.21489782,71.07405815,73.3276282,3015,310,1057,1086,600
ZFHX3,6375,1164,18.25882353,17.32968991,19.22618742,0,0,1164,2472,2739
CREBBP,6432,1552,24.12935323,23.0993468,25.19024328,248,118,1186,2277,2603
FAM135B,2837,0,0,0,0.1352225697,0,0,0,1935,902
ATRX,6486,1256,19.36478569,18.42135788,20.34448062,0,0,1256,1896,3334
NOTCH1,6380,980,15.36050157,14.49660338,16.2660882,0,0,980,2884,2516
KMT2B,5359,0,0,5.421010862e-18,0.0716310346,0,0,0,2713,2646
PTPRT,5455,221,4.051329056,3.559647832,4.607679653,0,0,221,1582,3652
RELN,2896,0,0,0,0.1324713394,0,0,0,1900,996
CDKN2A,5303,2905,54.78031303,53.43776965,56.11593577,1250,538,1117,1056,1342
TET2,6407,2046,31.93382238,30.80334412,33.08595162,0,0,2046,1922,2439
SMAD4,5026,2174,43.25507362,41.89105908,44.62939081,378,406,1390,1696,1156
SMARCA4,5310,586,11.03578154,10.22101137,11.9068874,94,0,492,2779,1945
PTPRD,5514,251,4.552049329,4.032796036,5.134583321,0,0,251,3201,2062
CTNNB1,4903,3103,63.28778299,61.92864957,64.62611098,2279,692,132,1019,781
FBXW7,5262,2850,54.16191562,52.81309491,55.50466405,0,1222,1628,1440,972
SETD2,5538,1249,22.55326833,21.47178812,23.67279924,0,5,1244,1662,2627
PREX2,4730,50,1.057082452,0.8027724117,1.390825742,0,0,50,2580,2100
SPEN,5506,745,13.53069379,12.65259222,14.45964812,0,0,745,2194,2567
KMT2A,5287,0,0,-5.421010862e-18,0.0726058199,0,0,0,2667,2620
PLEC,2528,6,0.2373417722,0.1088198542,0.5168693558,0,0,6,1543,979
PRKDC,2724,0,0,0,0.1408241233,0,0,0,1271,1453
GRIN2A,5083,316,6.216801102,5.585497425,6.91423279,0,0,316,3211,1556
BRCA2,5421,956,17.63512267,16.64360257,18.67247945,222,0,734,1930,2535
ASXL1,4805,2149,44.72424558,43.32316125,46.13375879,17,0,2132,1205,1451
BIRC6,2456,27,1.099348534,0.7566371854,1.594793173,0,0,27,1344,1085
EP300,4985,876,17.57271815,16.54129684,18.65407815,66,88,722,1974,2135
MGA,4579,0,0,0,0.08382264268,0,0,0,2254,2325
MUC4,2482,33,1.329572925,0.9482889605,1.861281158,0,2,31,1786,663
NOTCH3,4714,22,0.4666949512,0.3084079214,0.7056460531,0,0,22,2511,2181
PBRM1,4442,1233,27.75776677,26.4605327,29.09343794,0,0,1233,996,2213
SF3B1,4401,2116,48.07998182,46.60617808,49.55713446,164,1638,314,1344,941
ARID1B,4497,724,16.09962197,15.05444612,17.20266562,4,0,720,1656,2117
PIK3R1,4528,1237,27.31890459,26.04065008,28.6356108,57,329,851,1338,1953
BCOR,4410,1357,30.77097506,29.42599221,32.14942875,0,2,1355,1220,1833
RNF213,2248,0,0,0,0.1705918863,0,0,0,1287,961
ARID2,4651,1219,26.20941733,24.96554498,27.49255655,0,0,1219,1286,2146
ERBB4,4598,425,9.243149195,8.439660461,10.11468276,0,0,425,2490,1683
ROS1,5046,22,0.4359889021,0.2881043359,0.6592810268,0,0,22,2883,2141
DNMT3A,4217,1319,31.27815983,29.89642092,32.69397686,9,564,746,1542,1356
NBEA,2200,0,0,0,0.1743074033,0,0,0,1399,801
ADGRG4,2267,0,0,-1.084202172e-17,0.1691645538,0,0,0,1497,770
MED12,4052,216,5.330700888,4.680355591,6.065662547,0,0,216,2094,1742
TRRAP,1921,24,1.249349297,0.8409873719,1.85229724,0,0,24,1219,678
KDM6A,4146,1175,28.34056922,26.98935935,29.73187885,0,75,1100,880,2091
CNTNAP2,1919,118,6.149035956,5.159333385,7.31394972,0,0,118,1277,524
NCOR1,3922,628,16.01223865,14.89787569,17.19311606,0,0,628,1348,1946
DCC,1962,1,0.05096839959,0.008997740707,0.2881502716,0,0,1,1445,516
ASPM,2035,0,0,0,0.1884138075,0,0,0,1266,769
LRRK2,1982,0,0,0,0.1934423719,0,0,0,1264,718
EPHA5,4009,3,0.07483162884,0.02545269707,0.2197964343,0,0,3,2296,1710
MTOR,3895,434,11.14249037,10.19234912,12.16920284,119,37,278,1949,1512
ERBB2,3904,1488,38.1147541,36.60367371,39.64920119,564,865,59,1595,821
SLIT2,2099,0,0,0,0.1826794314,0,0,0,1339,760
ANKRD11,3779,0,0,0,0.101549559,0,0,0,1935,1844
EPHA3,3904,0,0,0,0.09830129654,0,0,0,2423,1481
ASXL3,1965,20,1.017811705,0.6598400904,1.566924214,0,0,20,1305,640
AKAP9,1946,0,0,0,0.1970139061,0,0,0,1145,801
RNF43,3905,2090,53.52112676,51.95410275,55.08122991,86,0,2004,810,1005
POLE,3941,528,13.39761482,12.36971262,14.49680331,0,299,229,1830,1583
NOTCH4,3528,0,0,0,0.108766457,0,0,0,1845,1683
COL5A1,1862,0,0,0,0.2058834529,0,0,0,1180,682
ATR,3967,404,10.18401815,9.281065693,11.16400791,0,0,404,1532,2031
CARD11,3580,61,1.703910615,1.328821047,2.182535699,0,0,61,2403,1116
PDE4DIP,1920,0,0,0,0.1996764756,0,0,0,1145,775
NRAS,3527,3106,88.06351007,86.95188389,89.09231213,3092,2,12,229,192
