cancer,pair,geneA,geneB,full_n,full_nBoth,noBurden_full_or,noBurden_full_ciLow,noBurden_full_ciHigh,noBurden_full_fdr,leaveTwoOut_full_or,leaveTwoOut_full_ciLow,leaveTwoOut_full_ciHigh,leaveTwoOut_full_fdr,totalBurden_full_or,totalBurden_full_ciLow,totalBurden_full_ciHigh,totalBurden_full_fdr,primaryDirection,signStableNoBurdenLeaveTwoOut,effectStableNoBurdenLeaveTwoOut,noBurdenCrossAssayConcordant,leaveTwoOutCrossAssayConcordant,edgeModule,displaySelection
LUAD,EGFR-KRAS,EGFR,KRAS,10289,55,0.02773275699,0.02105752066,0.03652404397,0,0.037421311,0.02856116216,0.04903002578,1.687393674e-263,0.03443583726,0.02623716889,0.04519644984,2.190361345e-279,mutually exclusive,True,True,True,True,RTK–RAS/lung,literature-guided context; primary and leave-two-out FDR < 0.05; direction/effect stable; cross-assay concordant under both specifications
LUAD,KEAP1-STK11,KEAP1,STK11,10126,581,10.8291866,9.380517909,12.50157865,0,7.891973312,6.814052261,9.140411663,3.001509272e-231,6.826822649,5.883021597,7.922035762,2.934361468e-175,co-occurring,True,True,True,True,RTK–RAS/lung,literature-guided context; primary and leave-two-out FDR < 0.05; direction/effect stable; cross-assay concordant under both specifications
LUAD,KRAS-TP53,KRAS,TP53,10289,1026,0.5534738168,0.5046336039,0.6070409571,1.661115165e-34,0.4034731164,0.3643981723,0.4467381234,4.562476296e-69,0.3014616601,0.2705481262,0.3359074548,6.62438537e-109,mutually exclusive,True,True,True,True,RTK–RAS/lung,literature-guided context; primary and leave-two-out FDR < 0.05; direction/effect stable; cross-assay concordant under both specifications
LUAD,EGFR-STK11,EGFR,STK11,10289,40,0.06601404476,0.04799603241,0.09079613222,1.321051128e-107,0.09074946775,0.06565452429,0.1254363806,1.408163125e-75,0.08167215544,0.05904668072,0.1129672472,1.367505575e-84,mutually exclusive,True,True,True,True,RTK–RAS/lung,literature-guided context; primary and leave-two-out FDR < 0.05; direction/effect stable; cross-assay concordant under both specifications
LUAD,STK11-TP53,STK11,TP53,10289,447,0.5360673779,0.4733076017,0.6071489927,1.360007579e-21,0.3797659346,0.3315532513,0.434989446,4.566443769e-44,0.2864089011,0.2491814607,0.3291980808,2.58015743e-70,mutually exclusive,True,True,True,True,RTK–RAS/lung,literature-guided context; primary and leave-two-out FDR < 0.05; direction/effect stable; cross-assay concordant under both specifications
LUAD,EGFR-KEAP1,EGFR,KEAP1,10126,51,0.09764872257,0.07322319337,0.1302220319,5.62694949e-82,0.1572101158,0.1174259659,0.2104732146,9.253007433e-46,0.1372531028,0.1024626293,0.1838564397,4.734090471e-54,mutually exclusive,True,True,True,True,RTK–RAS/lung,literature-guided context; primary and leave-two-out FDR < 0.05; direction/effect stable; cross-assay concordant under both specifications
LUAD,ATM-TP53,ATM,TP53,10289,251,0.5842090569,0.4968320742,0.6869528757,3.878288055e-10,0.3678533803,0.3078648683,0.4395308571,2.025652212e-27,0.3088707174,0.258175224,0.3695208184,6.144025611e-38,mutually exclusive,True,True,True,True,TP53/lineage,literature-guided context; primary and leave-two-out FDR < 0.05; direction/effect stable; cross-assay concordant under both specifications
COADREAD,BRAF-KRAS,BRAF,KRAS,11245,120,0.1469247708,0.120739612,0.1787887829,2.464829263e-105,0.1278406598,0.1035903058,0.1577679896,3.181822943e-104,0.1024895066,0.08295411625,0.1266254097,7.805283834e-132,mutually exclusive,True,True,True,True,RTK–RAS/lung,literature-guided context; primary and leave-two-out FDR < 0.05; direction/effect stable; cross-assay concordant under both specifications
COADREAD,APC-RNF43,APC,RNF43,11118,396,0.223241944,0.1942178925,0.2566033692,1.671034917e-118,0.1945974805,0.16434545,0.2304181795,3.33195936e-97,0.1581606103,0.1340530657,0.1866035552,3.163578158e-129,mutually exclusive,True,True,True,True,WNT/GI,literature-guided context; primary and leave-two-out FDR < 0.05; direction/effect stable; cross-assay concordant under both specifications
COADREAD,APC-BRAF,APC,BRAF,11245,505,0.2849402295,0.2500780672,0.3246623555,2.414446114e-87,0.2763749496,0.2396393964,0.3187418842,2.878406682e-74,0.230248154,0.1991335681,0.2662243885,2.621482005e-96,mutually exclusive,True,True,True,True,WNT/GI,literature-guided context; primary and leave-two-out FDR < 0.05; direction/effect stable; cross-assay concordant under both specifications
COADREAD,PIK3CA-TP53,PIK3CA,TP53,11245,1086,0.3978856361,0.3600446142,0.4397037845,8.199333815e-78,0.4785719611,0.4299886168,0.5326446166,2.276634998e-41,0.4258745343,0.3825614146,0.4740915106,5.974366465e-56,mutually exclusive,True,True,True,True,PI3K,literature-guided context; primary and leave-two-out FDR < 0.05; direction/effect stable; cross-assay concordant under both specifications
COADREAD,KRAS-NRAS,KRAS,NRAS,11245,47,0.1225434131,0.08648409491,0.17363757,8.764080574e-45,0.1170685549,0.08209330577,0.1669447515,2.818792716e-44,0.1011477628,0.07070663,0.1446946337,5.645052872e-52,mutually exclusive,True,True,True,True,RTK–RAS/lung,literature-guided context; primary and leave-two-out FDR < 0.05; direction/effect stable; cross-assay concordant under both specifications
COADREAD,APC-KRAS,APC,KRAS,11245,3486,1.882571794,1.721144768,2.05913914,2.26353555e-44,1.605411827,1.461140746,1.763928042,7.540540909e-22,1.422491604,1.292586166,1.565452591,8.667477743e-13,co-occurring,True,True,True,True,WNT/GI,literature-guided context; primary and leave-two-out FDR < 0.05; direction/effect stable; cross-assay concordant under both specifications
UCEC,PIK3CA-PIK3R1,PIK3CA,PIK3R1,5031,370,0.2016853167,0.1746697611,0.2328792731,2.958197877e-116,0.1330274447,0.1123456753,0.1575165311,1.227092576e-142,0.1120015724,0.09429947668,0.1330267428,4.819150832e-164,mutually exclusive,True,True,True,True,PI3K,literature-guided context; primary and leave-two-out FDR < 0.05; direction/effect stable; cross-assay concordant under both specifications
UCEC,AKT1-PTEN,AKT1,PTEN,5031,74,0.1591917247,0.1163377117,0.217831388,1.627822457e-45,0.1071913815,0.07436604973,0.1545058842,5.69465341e-45,0.0954744621,0.06616031113,0.1377770563,5.277288963e-52,mutually exclusive,True,True,True,True,PI3K,literature-guided context; primary and leave-two-out FDR < 0.05; direction/effect stable; cross-assay concordant under both specifications
UCEC,PTEN-TP53,PTEN,TP53,5031,536,0.3798789687,0.3217569313,0.4485001467,2.131206958e-31,0.4123244893,0.3408620799,0.4987691341,3.771341823e-19,0.3576373114,0.2936536223,0.4355622978,1.242317434e-24,mutually exclusive,True,True,True,True,PI3K,literature-guided context; primary and leave-two-out FDR < 0.05; direction/effect stable; cross-assay concordant under both specifications
UCEC,CTNNB1-TP53,CTNNB1,TP53,5031,116,0.3703724491,0.2976144245,0.4609176832,4.592892639e-20,0.4137697655,0.3322868018,0.5152338819,1.338492913e-15,0.4189728867,0.3365778734,0.5215383828,1.580789118e-15,mutually exclusive,True,True,True,True,WNT/GI,literature-guided context; primary and leave-two-out FDR < 0.05; direction/effect stable; cross-assay concordant under both specifications
SKCM,BRAF-NRAS,BRAF,NRAS,3091,87,0.09240501718,0.07216661282,0.1183190795,4.601613269e-104,0.08620186316,0.06655808971,0.1116432464,2.271274657e-114,0.08146952441,0.06311283454,0.1051653512,1.844846923e-114,mutually exclusive,True,True,True,True,RTK–RAS/lung,literature-guided context; primary and leave-two-out FDR < 0.05; direction/effect stable; cross-assay concordant under both specifications
BRCA,AKT1-PIK3CA,AKT1,PIK3CA,12717,53,0.1909938919,0.1436010751,0.2540278109,1.234467997e-34,0.1874852758,0.1406155761,0.2499774891,7.322470963e-35,0.1520272997,0.1130679083,0.2044107848,8.823884131e-44,mutually exclusive,True,True,True,True,PI3K,literature-guided context; primary and leave-two-out FDR < 0.05; direction/effect stable; cross-assay concordant under both specifications
BRCA,PIK3CA-TP53,PIK3CA,TP53,12717,1357,0.600695303,0.5542578775,0.6510233984,2.847758978e-33,0.5872256772,0.5407574796,0.6376869649,1.130493969e-34,0.4309910018,0.3944214737,0.4709511425,1.296337083e-75,mutually exclusive,True,True,True,True,PI3K,literature-guided context; primary and leave-two-out FDR < 0.05; direction/effect stable; cross-assay concordant under both specifications
BRCA,ESR1-TP53,ESR1,TP53,10284,103,0.2831850874,0.2266403118,0.35383729,1.042347322e-29,0.2611379567,0.2076672182,0.3283764913,5.742496943e-32,0.2015649744,0.1587748338,0.2558871449,8.823884131e-44,mutually exclusive,True,True,True,True,TP53/lineage,literature-guided context; primary and leave-two-out FDR < 0.05; direction/effect stable; cross-assay concordant under both specifications
BLCA,FGFR3-TP53,FGFR3,TP53,4159,159,0.214526214,0.1770378244,0.2599529036,9.336671057e-61,0.1893159132,0.1540625434,0.2326361374,3.304439654e-64,0.1672588032,0.1359678195,0.2057509442,1.202517184e-73,mutually exclusive,True,True,True,True,RTK–RAS/lung,literature-guided context; primary and leave-two-out FDR < 0.05; direction/effect stable; cross-assay concordant under both specifications
BLCA,FGFR3-RB1,FGFR3,RB1,4159,29,0.1726430167,0.1178826574,0.2528413584,1.275358046e-21,0.1541406045,0.1033195859,0.2299595546,2.453633882e-22,0.1391741271,0.09306898739,0.2081191405,3.426581553e-25,mutually exclusive,True,True,True,True,RTK–RAS/lung,literature-guided context; primary and leave-two-out FDR < 0.05; direction/effect stable; cross-assay concordant under both specifications
BLCA,RB1-TP53,RB1,TP53,4159,533,4.216380619,3.459974868,5.138148746,2.09225909e-48,3.941376989,3.207737322,4.842806942,5.391432694e-40,3.527246921,2.867627582,4.338593659,1.357730186e-32,co-occurring,True,True,True,True,TP53/lineage,literature-guided context; primary and leave-two-out FDR < 0.05; direction/effect stable; cross-assay concordant under both specifications
PAAD,KRAS-TP53,KRAS,TP53,5823,3443,6.124928341,5.079172037,7.385996557,1.400311254e-95,4.868539266,4.003985099,5.919770927,3.293853837e-65,3.044918111,2.462591853,3.764946389,4.064863185e-28,co-occurring,True,True,True,True,RTK–RAS/lung,literature-guided context; primary and leave-two-out FDR < 0.05; direction/effect stable; cross-assay concordant under both specifications
PAAD,CDKN2A-TP53,CDKN2A,TP53,5823,980,3.744815982,3.056222313,4.58855584,2.072313169e-39,3.489157863,2.830955773,4.300393072,9.891922078e-33,2.528298038,2.042366108,3.129845791,1.955053261e-16,co-occurring,True,True,True,True,TP53/lineage,literature-guided context; primary and leave-two-out FDR < 0.05; direction/effect stable; cross-assay concordant under both specifications
AML,NPM1-RUNX1,NPM1,RUNX1,4205,9,0.09400139364,0.0462806614,0.1909277382,1.225938321e-14,0.06811537862,0.03303617534,0.1404431584,1.766537674e-19,0.03921632885,0.01779459339,0.08642627649,2.678425291e-26,mutually exclusive,True,True,True,True,Myeloid,literature-guided context; primary and leave-two-out FDR < 0.05; direction/effect stable; cross-assay concordant under both specifications
AML,DNMT3A-NPM1,DNMT3A,NPM1,4205,484,4.762828491,3.867221043,5.865849141,1.033363396e-50,4.053072582,3.256309169,5.044790435,2.798500002e-38,3.00265474,2.387386631,3.776487384,7.059700734e-20,co-occurring,True,True,True,True,Myeloid,literature-guided context; primary and leave-two-out FDR < 0.05; direction/effect stable; cross-assay concordant under both specifications
AML,FLT3-NPM1,FLT3,NPM1,4205,403,3.143151283,2.502579382,3.947686958,1.022355129e-23,2.55933533,2.025118075,3.23447675,7.281820591e-18,2.31353616,1.793905102,2.983686013,7.560936836e-10,co-occurring,True,True,True,True,Myeloid,literature-guided context; primary and leave-two-out FDR < 0.05; direction/effect stable; cross-assay concordant under both specifications
AML,ASXL1-NPM1,ASXL1,NPM1,4205,18,0.2577958595,0.1409741161,0.4714248758,9.045975988e-06,0.193718187,0.1037542488,0.3616886673,1.898401706e-08,0.1211947672,0.06207134439,0.2366336953,4.888667836e-12,mutually exclusive,True,True,True,True,Myeloid,literature-guided context; primary and leave-two-out FDR < 0.05; direction/effect stable; cross-assay concordant under both specifications
AML,DNMT3A-SRSF2,DNMT3A,SRSF2,4205,40,0.3620773449,0.257176424,0.5097668039,1.128051187e-08,0.2922866809,0.2025909421,0.4216945878,2.643517075e-11,0.1832473875,0.1262851515,0.2659030346,8.62654529e-21,mutually exclusive,True,True,True,True,Myeloid,literature-guided context; primary and leave-two-out FDR < 0.05; direction/effect stable; cross-assay concordant under both specifications
PRAD,SPOP-TP53,SPOP,TP53,6585,98,0.5095129939,0.4063645801,0.638843796,1.725136329e-08,0.4880586148,0.3882157125,0.6135795225,6.83039806e-09,0.3611865711,0.2845360418,0.4584858154,8.324881628e-15,mutually exclusive,True,True,True,True,TP53/lineage,literature-guided context; primary and leave-two-out FDR < 0.05; direction/effect stable; cross-assay concordant under both specifications
PRAD,APC-SPOP,APC,SPOP,6585,101,3.96132158,3.06750844,5.11557473,1.281077809e-27,4.111069563,3.158657612,5.350656839,2.290640808e-26,2.981999118,2.28003987,3.900071599,2.987191267e-14,co-occurring,True,True,True,True,WNT/GI,literature-guided context; primary and leave-two-out FDR < 0.05; direction/effect stable; cross-assay concordant under both specifications
