cancer,pathway,nAnalysisSamples,nStudies,nDocumentedWesWgs,nTargetedPanel,nWesWithPathwayMutation,wesMutationPct,meanTargetedTemplateCoveragePct
BRCA,Cell cycle,12717,39,3577,9140,218,6.094492592,81.56623464
BRCA,Hippo,12717,39,3577,9140,377,10.53955829,49.17943107
BRCA,MYC,12717,39,3577,9140,94,2.627900475,72.02680525
BRCA,NOTCH,12717,39,3577,9140,612,17.10930948,66.67143579
BRCA,NRF2,12717,39,3577,9140,49,1.369863014,73.35886214
BRCA,PI3K–AKT,12717,39,3577,9140,1507,42.13027677,77.63503397
BRCA,RTK–RAS,12717,39,3577,9140,843,23.56723511,81.41108286
BRCA,TGF-β,12717,39,3577,9140,147,4.109589041,60.01719287
BRCA,TP53,12717,39,3577,9140,1460,40.81632653,84.02844639
BRCA,WNT/β-catenin,12717,39,3577,9140,302,8.442829186,29.57226217
COADREAD,Cell cycle,11259,38,4524,6721,424,9.372236958,99.48382223
COADREAD,Hippo,11259,38,4524,6721,1376,30.41556145,61.4752269
COADREAD,MYC,11259,38,4524,6721,292,6.454465075,97.45945544
COADREAD,NOTCH,11259,38,4524,6721,1497,33.09018568,76.22606526
COADREAD,NRF2,11259,38,4524,6721,192,4.24403183,99.2759014
COADREAD,PI3K–AKT,11259,38,4524,6721,1613,35.65428824,93.86839364
COADREAD,RTK–RAS,11259,38,4524,6721,2826,62.4668435,98.89253932
COADREAD,TGF-β,11259,38,4524,6721,1299,28.71352785,70.51671733
COADREAD,TP53,11259,38,4524,6721,2807,62.04686118,100
COADREAD,WNT/β-catenin,11259,38,4524,6721,3286,72.63483643,38.68401102
LUAD,Cell cycle,10289,36,3921,6368,485,12.36929355,100
LUAD,Hippo,10289,36,3921,6368,987,25.17214996,61.86008166
LUAD,MYC,10289,36,3921,6368,204,5.202754399,97.63269472
LUAD,NOTCH,10289,36,3921,6368,910,23.20836521,75.93858717
LUAD,NRF2,10289,36,3921,6368,431,10.99209385,97.44032663
LUAD,PI3K–AKT,10289,36,3921,6368,1148,29.27824535,94.23846205
LUAD,RTK–RAS,10289,36,3921,6368,3046,77.68426422,98.96314342
LUAD,TGF-β,10289,36,3921,6368,368,9.385360877,71.79423905
LUAD,TP53,10289,36,3921,6368,2031,51.79801071,100
LUAD,WNT/β-catenin,10289,36,3921,6368,771,19.66335119,38.54391003
SARC,Cell cycle,9238,28,1385,7853,100,7.220216606,94.43622721
SARC,Hippo,9238,28,1385,7853,120,8.664259928,36.36985865
SARC,MYC,9238,28,1385,7853,21,1.516245487,64.76187444
SARC,NOTCH,9238,28,1385,7853,162,11.6967509,64.99035156
SARC,NRF2,9238,28,1385,7853,12,0.8664259928,97.35982003
SARC,PI3K–AKT,9238,28,1385,7853,177,12.77978339,87.1782155
SARC,RTK–RAS,9238,28,1385,7853,295,21.29963899,91.89464519
SARC,TGF-β,9238,28,1385,7853,23,1.660649819,71.04837096
SARC,TP53,9238,28,1385,7853,305,22.02166065,99.47281294
SARC,WNT/β-catenin,9238,28,1385,7853,100,7.220216606,28.05843081
PRAD,Cell cycle,6748,32,2900,3848,125,4.310344828,96.27778666
PRAD,Hippo,6748,32,2900,3848,279,9.620689655,60.11564449
PRAD,MYC,6748,32,2900,3848,71,2.448275862,95.32224532
