context,scope,cancer,geneA,geneB,jointStateContrast,multiplicativeInteractionContrast,nPatients,nEvents,nStudies,nStrata,jointStateCoefficient,jointStateStandardError,jointStateHazardRatio,jointStateCiLow,jointStateCiHigh,jointStateP,jointStateFdr,jointStatePhTestP,jointStateFitStatus,multiplicativeInteractionCoefficient,multiplicativeInteractionStandardError,multiplicativeInteractionHazardRatio,multiplicativeInteractionCiLow,multiplicativeInteractionCiHigh,multiplicativeInteractionP,multiplicativeInteractionFdr,multiplicativeInteractionPhTestP,multiplicativeInteractionFitStatus
BRAF–KRAS (COADREAD),cancer-specific,COADREAD,BRAF,KRAS,A+B versus A−/B− in a saturated four-genotype-state Cox model,A×B product term conditional on mutation A and mutation B main effects,5693,1305,15,15,0.1765836015,0.2718156362,1.19313417,0.7003568726,2.032633939,0.5159217188,0.5503165,0.428247709,estimated,-0.3640296688,0.2857675499,0.6948705785,0.3968790223,1.216605297,0.2027107819,0.2494901931,0.428247709,estimated
BRAF–NRAS (SKCM),cancer-specific,SKCM,BRAF,NRAS,A+B versus A−/B− in a saturated four-genotype-state Cox model,A×B product term conditional on mutation A and mutation B main effects,2432,932,15,15,0.2468350047,0.1746757185,1.279967907,0.9088973545,1.802533404,0.1576250662,0.2522001059,0.7979121851,estimated,0.3319964974,0.1938509134,1.393747967,0.9531868674,2.037935542,0.08677910393,0.13813529,0.7979121851,estimated
CTNNB1–TP53 (UCEC),cancer-specific,UCEC,CTNNB1,TP53,A+B versus A−/B− in a saturated four-genotype-state Cox model,A×B product term conditional on mutation A and mutation B main effects,2526,516,7,7,-0.003911364059,0.3447230136,0.9960962754,0.5068419522,1.957627591,0.9909470795,0.9909470795,0.1085658897,estimated,-1.032009982,0.3733819255,0.3562901036,0.1713880305,0.7406738821,0.005710581614,0.02284232645,0.1085658897,estimated
EGFR–KRAS (LUAD),cancer-specific,LUAD,EGFR,KRAS,A+B versus A−/B− in a saturated four-genotype-state Cox model,A×B product term conditional on mutation A and mutation B main effects,6925,2288,17,17,0.3149307621,0.2798449641,1.37016444,0.7917138216,2.371248982,0.2604298036,0.3472397382,0.60652172,estimated,0.4647048781,0.2855085775,1.59154442,0.9094805641,2.785121245,0.1036014675,0.13813529,0.60652172,estimated
IDH1–TP53 (GBM),cancer-specific,GBM,IDH1,TP53,A+B versus A−/B− in a saturated four-genotype-state Cox model,A×B product term conditional on mutation A and mutation B main effects,2054,1280,8,8,-0.7155070581,0.200904678,0.4889441259,0.3297986404,0.724885821,0.0003688466702,0.0007376933405,0.8654530512,estimated,0.1759757664,0.46330973,1.192409162,0.4809006312,2.956618305,0.7040766882,0.7040766882,0.8654530512,estimated
KEAP1–STK11 (LUAD),cancer-specific,LUAD,KEAP1,STK11,A+B versus A−/B− in a saturated four-genotype-state Cox model,A×B product term conditional on mutation A and mutation B main effects,6925,2288,17,17,0.9199582072,0.06980188238,2.509185522,2.188352618,2.877055521,1.150575045e-39,1.840920071e-38,5.598781929e-08,estimated,0.4316342795,0.1301104716,1.539771886,1.193180512,1.987040047,0.0009084493473,0.004845063186,5.598781929e-08,estimated
KEAP1–STK11 (LUSC),cancer-specific,LUSC,KEAP1,STK11,A+B versus A−/B− in a saturated four-genotype-state Cox model,A×B product term conditional on mutation A and mutation B main effects,1403,615,9,9,0.3382419802,0.5038806531,1.402479835,0.5223873312,3.765308937,0.5020459964,0.5503165,0.5362888949,estimated,-0.5430650852,0.6010237559,0.5809648139,0.178878227,1.886870865,0.3662251758,0.4185430581,0.5362888949,estimated
KRAS–TP53 (COADREAD),cancer-specific,COADREAD,KRAS,TP53,A+B versus A−/B− in a saturated four-genotype-state Cox model,A×B product term conditional on mutation A and mutation B main effects,5693,1305,15,15,0.1745457071,0.08928160898,1.190705165,0.9995570671,1.418407049,0.05058285671,0.0899250786,0.6396508772,estimated,0.2361895717,0.1207010142,1.266414364,0.9996200032,1.604415013,0.0503692067,0.1007384134,0.6396508772,estimated
KRAS–TP53 (LUAD),cancer-specific,LUAD,KRAS,TP53,A+B versus A−/B− in a saturated four-genotype-state Cox model,A×B product term conditional on mutation A and mutation B main effects,6925,2288,17,17,0.4996767419,0.07452291636,1.648188394,1.424206063,1.907396025,2.013954903e-11,5.370546408e-11,0.0223168768,estimated,-0.4369484328,0.09313737881,0.6460047432,0.5382165229,0.7753796298,2.712887155e-06,4.340619447e-05,0.0223168768,estimated
KRAS–TP53 (PAAD),cancer-specific,PAAD,KRAS,TP53,A+B versus A−/B− in a saturated four-genotype-state Cox model,A×B product term conditional on mutation A and mutation B main effects,3793,1882,14,14,1.071145624,0.08409253877,2.918721343,2.475215039,3.441694618,3.649919038e-37,2.91993523e-36,0.4352715469,estimated,-0.591238598,0.1525528007,0.5536411211,0.4105586059,0.746588883,0.0001063480744,0.0008507845951,0.4352715469,estimated
