scope,cancer,geneA,geneB,context,contrast,nPatients,nEvents,nStudies,nStrata,nDoubleNegative,nAOnly,nBOnly,nDoubleMutant,coefficient,standardError,hazardRatio,ciLow,ciHigh,z,p,phTestP,tiesMethod,fitStatus,globalFdr,withinCancerFdr,fdrFamily,geneAFrequency,geneBFrequency,frequencyThreshold,eligibilityRule
cancer-specific,BRCA,CDH1,PIK3CA,CDH1–PIK3CA (BRCA),A+B versus A−/B−,8826,2777,8,8,5163,519,2613,531,0.107262516541289,0.0796666156390578,1.11322645648274,0.952294273742731,1.30135524026886,1.34639228340336,0.178176038228907,0.441976602964712,Efron,estimated,0.28646108855899116,0.178176038228907,A+B versus A−/B−; all cancer-specific frequency-eligible contexts,0.11323425336164189,0.34158999764095305,0.1,"both genes meet mutation-frequency threshold; n>=80; events>=20; every genotype group>=20; retained stratum n>=10, events>=2 and >=2 genotype groups"
cancer-specific,BRCA,CDH1,PIK3CA,CDH1–PIK3CA (BRCA),multiplicative A×B interaction,8826,2777,8,8,5163,519,2613,531,0.12638306299214,0.119112444138282,1.13471675303569,0.898460049201699,1.43309890157488,1.06103996023637,0.28867174134484,0.441976602964714,Efron,estimated,0.7887828721834883,0.48111956890806673,multiplicative A×B interaction; all cancer-specific frequency-eligible contexts,0.11323425336164189,0.34158999764095305,0.1,"both genes meet mutation-frequency threshold; n>=80; events>=20; every genotype group>=20; retained stratum n>=10, events>=2 and >=2 genotype groups"
cancer-specific,BRCA,CDH1,TP53,CDH1–TP53 (BRCA),A+B versus A−/B−,8826,2777,8,8,4581,867,3195,183,0.895724666420171,0.109069227136011,2.44910993428177,1.97773630312517,3.03283074731425,8.21244167525996,2.16735344358057e-16,0.0243944293382596,Efron,estimated,4.154649831848292e-14,5.418383608951424e-16,A+B versus A−/B−; all cancer-specific frequency-eligible contexts,0.11323425336164189,0.39026499960682554,0.1,"both genes meet mutation-frequency threshold; n>=80; events>=20; every genotype group>=20; retained stratum n>=10, events>=2 and >=2 genotype groups"
cancer-specific,BRCA,CDH1,TP53,CDH1–TP53 (BRCA),multiplicative A×B interaction,8826,2777,8,8,4581,867,3195,183,0.183343810557712,0.130206667709363,1.20122733173187,0.930664372639791,1.55044841612106,1.40809847746782,0.159101911824702,0.0243944293382595,Efron,estimated,0.6590025170679547,0.39775477956175503,multiplicative A×B interaction; all cancer-specific frequency-eligible contexts,0.11323425336164189,0.39026499960682554,0.1,"both genes meet mutation-frequency threshold; n>=80; events>=20; every genotype group>=20; retained stratum n>=10, events>=2 and >=2 genotype groups"
cancer-specific,BRCA,MUC16,PIK3CA,MUC16–PIK3CA (BRCA),A+B versus A−/B−,3196,1399,3,3,1735,277,1005,179,0.219977941354789,0.106669185944919,1.24604924412603,1.01096991167659,1.53579122469843,2.06224449362893,0.0391844646049875,0.730717241370311,Efron,estimated,0.09863402605619076,0.04898058075623437,A+B versus A−/B−; all cancer-specific frequency-eligible contexts,0.12046589018302829,0.326955074875208,0.1,"both genes meet mutation-frequency threshold; n>=80; events>=20; every genotype group>=20; retained stratum n>=10, events>=2 and >=2 genotype groups"
cancer-specific,BRCA,MUC16,PIK3CA,MUC16–PIK3CA (BRCA),multiplicative A×B interaction,3196,1399,3,3,1735,277,1005,179,0.0519170232002018,0.143148856430986,1.05328834039149,0.79560728149953,1.39442706697414,0.362678574559426,0.716845006556125,0.730717241370309,Efron,estimated,0.940680084603719,0.716845006556125,multiplicative A×B interaction; all cancer-specific frequency-eligible contexts,0.12046589018302829,0.326955074875208,0.1,"both genes meet mutation-frequency threshold; n>=80; events>=20; every genotype group>=20; retained stratum n>=10, events>=2 and >=2 genotype groups"
cancer-specific,BRCA,MUC16,TP53,MUC16–TP53 (BRCA),A+B versus A−/B−,3196,1399,3,3,1870,262,870,194,0.342560075166587,0.100394291317501,1.40854896993455,1.15695422040497,1.7148562715033,3.41214695249184,0.0006445335677838,0.0389265228238491,Efron,estimated,0.007235034463591124,0.001074222612973,A+B versus A−/B−; all cancer-specific frequency-eligible contexts,0.12046589018302829,0.3715474209650582,0.1,"both genes meet mutation-frequency threshold; n>=80; events>=20; every genotype group>=20; retained stratum n>=10, events>=2 and >=2 genotype groups"
cancer-specific,BRCA,MUC16,TP53,MUC16–TP53 (BRCA),multiplicative A×B interaction,3196,1399,3,3,1870,262,870,194,-0.0555652774710797,0.142086475296876,0.945950272413423,0.716018229791326,1.24971946334357,-0.391066618796627,0.695747994105554,0.0389265228238493,Efron,estimated,0.9332694990464016,0.716845006556125,multiplicative A×B interaction; all cancer-specific frequency-eligible contexts,0.12046589018302829,0.3715474209650582,0.1,"both genes meet mutation-frequency threshold; n>=80; events>=20; every genotype group>=20; retained stratum n>=10, events>=2 and >=2 genotype groups"
cancer-specific,BRCA,PIK3CA,TP53,PIK3CA–TP53 (BRCA),A+B versus A−/B−,8826,2777,8,8,3241,2207,2441,937,0.72094534577568,0.0607925920484965,2.05637627869187,1.8253907155521,2.31659083369864,11.8590986415015,1.93042014197207e-32,0.0181629215359505,Efron,estimated,1.2026517484485996e-29,9.65210070986035e-32,A+B versus A−/B−; all cancer-specific frequency-eligible contexts,0.34158999764095305,0.39026499960682554,0.1,"both genes meet mutation-frequency threshold; n>=80; events>=20; every genotype group>=20; retained stratum n>=10, events>=2 and >=2 genotype groups"
cancer-specific,BRCA,PIK3CA,TP53,PIK3CA–TP53 (BRCA),multiplicative A×B interaction,8826,2777,8,8,3241,2207,2441,937,0.180067632971052,0.080003206386707,1.1972983372273,1.02353695278986,1.40055843066525,2.25075520224363,0.0244010463087251,0.0181629215359512,Efron,estimated,0.40167833553183374,0.1220052315436255,multiplicative A×B interaction; all cancer-specific frequency-eligible contexts,0.34158999764095305,0.39026499960682554,0.1,"both genes meet mutation-frequency threshold; n>=80; events>=20; every genotype group>=20; retained stratum n>=10, events>=2 and >=2 genotype groups"
