datasetId,context,scope,cancer,geneA,geneB,excludedStudyId,nPatientsExcludedStudy,nEventsExcludedStudy,nStudiesRetained,coefficient,standardError,hazardRatio,ciLow,ciHigh,p,tauSquared,iSquaredPercent,contrast,leaveOneOutMethod,fitStatus
cancer-specific_LUAD_KEAP1_STK11_positive,KEAP1–STK11 (LUAD),cancer-specific,LUAD,KEAP1,STK11,bm_nsclc_mskcc_2023,94,50,10,0.9695858483,0.1233945347,2.636852176,2.070390019,3.358299324,3.915392506e-15,0.05586985734,46.35732685,A+B versus A−/B−,leave-one-study-out random-effects meta-analysis,estimated
cancer-specific_LUAD_KEAP1_STK11_positive,KEAP1–STK11 (LUAD),cancer-specific,LUAD,KEAP1,STK11,luad_mskcc_2020,402,27,10,0.9745189236,0.1091866941,2.649892104,2.139381857,3.282222918,4.446796256e-19,0.03757073837,37.70660292,A+B versus A−/B−,leave-one-study-out random-effects meta-analysis,estimated
cancer-specific_LUAD_KEAP1_STK11_positive,KEAP1–STK11 (LUAD),cancer-specific,LUAD,KEAP1,STK11,luad_mskcc_2023_met_organotropism,45,18,10,0.9505561818,0.122054837,2.587148184,2.036704575,3.286355718,6.810859039e-15,0.05784119299,48.12077865,A+B versus A−/B−,leave-one-study-out random-effects meta-analysis,estimated
cancer-specific_LUAD_KEAP1_STK11_positive,KEAP1–STK11 (LUAD),cancer-specific,LUAD,KEAP1,STK11,luad_oncosg_2020,288,84,10,0.9287565881,0.1190851377,2.531359697,2.004418527,3.196828323,6.235152644e-15,0.05220628379,45.47459313,A+B versus A−/B−,leave-one-study-out random-effects meta-analysis,estimated
cancer-specific_LUAD_KEAP1_STK11_positive,KEAP1–STK11 (LUAD),cancer-specific,LUAD,KEAP1,STK11,luad_tcga_pan_can_atlas_2018,385,132,10,0.9990417014,0.1146738643,2.71567815,2.169040833,3.400077908,2.984908772e-18,0.0399409344,37.48488438,A+B versus A−/B−,leave-one-study-out random-effects meta-analysis,estimated
cancer-specific_LUAD_KEAP1_STK11_positive,KEAP1–STK11 (LUAD),cancer-specific,LUAD,KEAP1,STK11,msk_access_2021,167,75,10,0.915974764,0.1215642075,2.499210205,1.969369214,3.171600127,4.886901854e-14,0.05176710512,44.1750038,A+B versus A−/B−,leave-one-study-out random-effects meta-analysis,estimated
cancer-specific_LUAD_KEAP1_STK11_positive,KEAP1–STK11 (LUAD),cancer-specific,LUAD,KEAP1,STK11,msk_chord_2024,970,209,10,0.9475102448,0.1347920508,2.579279883,1.980447204,3.359183068,2.073904398e-12,0.06779282836,48.1826665,A+B versus A−/B−,leave-one-study-out random-effects meta-analysis,estimated
cancer-specific_LUAD_KEAP1_STK11_positive,KEAP1–STK11 (LUAD),cancer-specific,LUAD,KEAP1,STK11,msk_impact_2017,665,244,10,0.868857699,0.1102046611,2.38418584,1.92102814,2.959010334,3.169686843e-15,0.02498176842,22.65465954,A+B versus A−/B−,leave-one-study-out random-effects meta-analysis,estimated
cancer-specific_LUAD_KEAP1_STK11_positive,KEAP1–STK11 (LUAD),cancer-specific,LUAD,KEAP1,STK11,msk_impact_50k_2026,2334,787,10,0.9724713708,0.143897567,2.644471861,1.99458762,3.506103895,1.398316402e-11,0.07593562765,42.81716378,A+B versus A−/B−,leave-one-study-out random-effects meta-analysis,estimated
cancer-specific_LUAD_KEAP1_STK11_positive,KEAP1–STK11 (LUAD),cancer-specific,LUAD,KEAP1,STK11,pog570_bcgsc_2020,40,29,10,0.920615371,0.107553543,2.51083501,2.033613582,3.100044424,1.132592024e-17,0.03500411172,36.00716892,A+B versus A−/B−,leave-one-study-out random-effects meta-analysis,estimated
