context,scope,cancer,geneA,geneB,group,nPatients,nEvents,medianOsMonths,medianOsStatus
KEAP1–STK11 (LUAD),cancer-specific,LUAD,KEAP1,STK11,A−/B−,5586,1703,53.13333333,estimated
KEAP1–STK11 (LUAD),cancer-specific,LUAD,KEAP1,STK11,A only,415,172,40.504,estimated
KEAP1–STK11 (LUAD),cancer-specific,LUAD,KEAP1,STK11,B only,473,170,36,estimated
KEAP1–STK11 (LUAD),cancer-specific,LUAD,KEAP1,STK11,A+B,451,243,14.23560084,estimated
KEAP1–STK11 (LUSC),cancer-specific,LUSC,KEAP1,STK11,A−/B−,1223,526,32.679,estimated
KEAP1–STK11 (LUSC),cancer-specific,LUSC,KEAP1,STK11,A only,153,74,28.537,estimated
KEAP1–STK11 (LUSC),cancer-specific,LUSC,KEAP1,STK11,B only,19,11,10.81631982,estimated
KEAP1–STK11 (LUSC),cancer-specific,LUSC,KEAP1,STK11,A+B,8,4,36.39412171,estimated
KRAS–TP53 (PAAD),cancer-specific,PAAD,KRAS,TP53,A−/B−,725,204,56.77801997,estimated
KRAS–TP53 (PAAD),cancer-specific,PAAD,KRAS,TP53,A only,653,344,18.51,estimated
KRAS–TP53 (PAAD),cancer-specific,PAAD,KRAS,TP53,B only,157,74,21.13,estimated
KRAS–TP53 (PAAD),cancer-specific,PAAD,KRAS,TP53,A+B,2258,1260,14.827,estimated
KRAS–TP53 (COADREAD),cancer-specific,COADREAD,KRAS,TP53,A−/B−,932,236,92.88,estimated
KRAS–TP53 (COADREAD),cancer-specific,COADREAD,KRAS,TP53,A only,879,197,181.88,estimated
KRAS–TP53 (COADREAD),cancer-specific,COADREAD,KRAS,TP53,B only,2473,519,65.85133314,estimated
KRAS–TP53 (COADREAD),cancer-specific,COADREAD,KRAS,TP53,A+B,1409,353,54.60762074,estimated
PTEN–PIK3CA (UCEC),cancer-specific,UCEC,PTEN,PIK3CA,A−/B−,641,181,53.293,estimated
PTEN–PIK3CA (UCEC),cancer-specific,UCEC,PTEN,PIK3CA,A only,628,101,,not reached
PTEN–PIK3CA (UCEC),cancer-specific,UCEC,PTEN,PIK3CA,B only,429,140,41.16119275,estimated
PTEN–PIK3CA (UCEC),cancer-specific,UCEC,PTEN,PIK3CA,A+B,828,94,,not reached
IDH1–TP53 (GBM),cancer-specific,GBM,IDH1,TP53,A−/B−,1486,940,16.175,estimated
IDH1–TP53 (GBM),cancer-specific,GBM,IDH1,TP53,A only,12,6,47,estimated
IDH1–TP53 (GBM),cancer-specific,GBM,IDH1,TP53,B only,497,308,15.38613276,estimated
IDH1–TP53 (GBM),cancer-specific,GBM,IDH1,TP53,A+B,59,26,36.1,estimated
PIK3CA–TP53 (BRCA),cancer-specific,BRCA,PIK3CA,TP53,A−/B−,3241,856,142.6666667,estimated
PIK3CA–TP53 (BRCA),cancer-specific,BRCA,PIK3CA,TP53,A only,2207,637,134.2666667,estimated
PIK3CA–TP53 (BRCA),cancer-specific,BRCA,PIK3CA,TP53,B only,2441,882,88.93333333,estimated
PIK3CA–TP53 (BRCA),cancer-specific,BRCA,PIK3CA,TP53,A+B,937,402,53.688,estimated
EGFR–KRAS (LUAD),cancer-specific,LUAD,EGFR,KRAS,A−/B−,2849,977,48.5,estimated
EGFR–KRAS (LUAD),cancer-specific,LUAD,EGFR,KRAS,A only,1992,573,52.636,estimated
EGFR–KRAS (LUAD),cancer-specific,LUAD,EGFR,KRAS,B only,2048,725,44.942,estimated
EGFR–KRAS (LUAD),cancer-specific,LUAD,EGFR,KRAS,A+B,36,13,25.73333333,estimated
KRAS–TP53 (LUAD),cancer-specific,LUAD,KRAS,TP53,A−/B−,2449,628,91.03333333,estimated
KRAS–TP53 (LUAD),cancer-specific,LUAD,KRAS,TP53,A only,1355,467,48.099,estimated
KRAS–TP53 (LUAD),cancer-specific,LUAD,KRAS,TP53,B only,2392,922,35.99,estimated
KRAS–TP53 (LUAD),cancer-specific,LUAD,KRAS,TP53,A+B,729,271,42,estimated
STK11–TP53 (LUAD),cancer-specific,LUAD,STK11,TP53,A−/B−,3191,830,90.9,estimated
