datasetId,context,scope,cancer,geneA,geneB,nPrimaryPatients,nExcludedConflictSpecimens,nPatients,nEvents,nStudies,nStrata,coefficient,standardError,hazardRatio,ciLow,ciHigh,p,contrast,sensitivityDefinition,baselineHazards,tiesMethod,fitStatus,fdr,fdrFamily
cancer-specific_LUAD_KEAP1_STK11_positive,KEAP1–STK11 (LUAD),cancer-specific,LUAD,KEAP1,STK11,6925,4,6921,2286,17,17,0.9206897056,0.06980605638,2.511021659,2.189936065,2.879184407,1.011835128e-39,A+B versus A−/B−,exclude each specimen with any off-panel assay-metadata conflict; do not reclassify off-panel positives as assayed,study,Efron,estimated,1.618936204e-38,scope=cancer-specific
cancer-specific_LUSC_KEAP1_STK11_positive,KEAP1–STK11 (LUSC),cancer-specific,LUSC,KEAP1,STK11,1403,0,1403,615,9,9,0.3382419802,0.5038806531,1.402479835,0.5223873312,3.765308937,0.5020459964,A+B versus A−/B−,exclude each specimen with any off-panel assay-metadata conflict; do not reclassify off-panel positives as assayed,study,Efron,structural no-overlap; estimate identical to strict primary,0.5526468957,scope=cancer-specific
cancer-specific_PAAD_KRAS_TP53_positive,KRAS–TP53 (PAAD),cancer-specific,PAAD,KRAS,TP53,3793,1,3792,1881,14,14,1.077473217,0.0843027599,2.937248378,2.489900734,3.464968669,2.093716375e-37,A+B versus A−/B−,exclude each specimen with any off-panel assay-metadata conflict; do not reclassify off-panel positives as assayed,study,Efron,estimated,1.6749731e-36,scope=cancer-specific
cancer-specific_COADREAD_KRAS_TP53_positive,KRAS–TP53 (COADREAD),cancer-specific,COADREAD,KRAS,TP53,5693,2,5691,1305,15,15,0.1747242699,0.0892791779,1.190917799,0.9997403304,1.418653586,0.05034099128,A+B versus A−/B−,exclude each specimen with any off-panel assay-metadata conflict; do not reclassify off-panel positives as assayed,study,Efron,estimated,0.0894950956,scope=cancer-specific
cancer-specific_UCEC_PTEN_PIK3CA_positive,PTEN–PIK3CA (UCEC),cancer-specific,UCEC,PTEN,PIK3CA,2526,0,2526,516,7,7,-0.9824759783,0.1285132433,0.3743829862,0.29102174,0.4816225082,2.090434934e-14,A+B versus A−/B−,exclude each specimen with any off-panel assay-metadata conflict; do not reclassify off-panel positives as assayed,study,Efron,structural no-overlap; estimate identical to strict primary,6.689391789e-14,scope=cancer-specific
cancer-specific_GBM_IDH1_TP53_positive,IDH1–TP53 (GBM),cancer-specific,GBM,IDH1,TP53,2054,1,2053,1279,8,8,-0.7161371732,0.2009257174,0.4886361318,0.3295773039,0.7244590768,0.0003649833127,A+B versus A−/B−,exclude each specimen with any off-panel assay-metadata conflict; do not reclassify off-panel positives as assayed,study,Efron,estimated,0.0007299666253,scope=cancer-specific
cancer-specific_BRCA_PIK3CA_TP53_positive,PIK3CA–TP53 (BRCA),cancer-specific,BRCA,PIK3CA,TP53,8826,2,8824,2776,8,8,0.7200413969,0.06084073735,2.05451826,1.823569316,2.314716114,2.577839584e-32,A+B versus A−/B−,exclude each specimen with any off-panel assay-metadata conflict; do not reclassify off-panel positives as assayed,study,Efron,estimated,1.374847778e-31,scope=cancer-specific
cancer-specific_LUAD_EGFR_KRAS_positive,EGFR–KRAS (LUAD),cancer-specific,LUAD,EGFR,KRAS,6925,4,6921,2286,17,17,0.315007823,0.2798497242,1.370270031,0.7917674472,2.371453844,0.2603212898,A+B versus A−/B−,exclude each specimen with any off-panel assay-metadata conflict; do not reclassify off-panel positives as assayed,study,Efron,estimated,0.3470950531,scope=cancer-specific
cancer-specific_LUAD_KRAS_TP53_positive,KRAS–TP53 (LUAD),cancer-specific,LUAD,KRAS,TP53,6925,4,6921,2286,17,17,0.5012284896,0.07454381168,1.650747952,1.426359371,1.910436358,1.76869221e-11,A+B versus A−/B−,exclude each specimen with any off-panel assay-metadata conflict; do not reclassify off-panel positives as assayed,study,Efron,estimated,4.71651256e-11,scope=cancer-specific
cancer-specific_LUAD_STK11_TP53_positive,STK11–TP53 (LUAD),cancer-specific,LUAD,STK11,TP53,6925,4,6921,2286,17,17,0.8531875423,0.091021455,2.347116474,1.963618155,2.805512736,7.018142893e-21,A+B versus A−/B−,exclude each specimen with any off-panel assay-metadata conflict; do not reclassify off-panel positives as assayed,study,Efron,estimated,2.807257157e-20,scope=cancer-specific
cancer-specific_COADREAD_BRAF_KRAS_positive,BRAF–KRAS (COADREAD),cancer-specific,COADREAD,BRAF,KRAS,5693,2,5691,1305,15,15,0.175666798,0.2718176882,1.192040802,0.699712263,2.030779435,0.5181064647,A+B versus A−/B−,exclude each specimen with any off-panel assay-metadata conflict; do not reclassify off-panel positives as assayed,study,Efron,estimated,0.5526468957,scope=cancer-specific
