datasetId,context,scope,cancer,geneA,geneB,term,chiSquare,degreesFreedom,phTestP,transform,diagnostic,tiesMethod,phFdr,phFdrFamily
cancer-specific_LUAD_KEAP1_STK11_positive,KEAP1–STK11 (LUAD),cancer-specific,LUAD,KEAP1,STK11,A_only,17.70112339,1,2.584739093e-05,rank,cox.zph scaled Schoenfeld-residual test,Efron,,
cancer-specific_LUAD_KEAP1_STK11_positive,KEAP1–STK11 (LUAD),cancer-specific,LUAD,KEAP1,STK11,B_only,1.307638836,1,0.2528226023,rank,cox.zph scaled Schoenfeld-residual test,Efron,,
cancer-specific_LUAD_KEAP1_STK11_positive,KEAP1–STK11 (LUAD),cancer-specific,LUAD,KEAP1,STK11,Both,29.49753657,1,5.598781929e-08,rank,cox.zph scaled Schoenfeld-residual test,Efron,8.118233796e-07,all 29 primary A+B coefficient-level PH tests
cancer-specific_LUAD_KEAP1_STK11_positive,KEAP1–STK11 (LUAD),cancer-specific,LUAD,KEAP1,STK11,GLOBAL,52.76312712,3,2.059428377e-11,rank,cox.zph scaled Schoenfeld-residual test,Efron,,
cancer-specific_LUSC_KEAP1_STK11_positive,KEAP1–STK11 (LUSC),cancer-specific,LUSC,KEAP1,STK11,A_only,0.3809715137,1,0.5370837568,rank,cox.zph scaled Schoenfeld-residual test,Efron,,
cancer-specific_LUSC_KEAP1_STK11_positive,KEAP1–STK11 (LUSC),cancer-specific,LUSC,KEAP1,STK11,B_only,0.02607865451,1,0.8717083783,rank,cox.zph scaled Schoenfeld-residual test,Efron,,
cancer-specific_LUSC_KEAP1_STK11_positive,KEAP1–STK11 (LUSC),cancer-specific,LUSC,KEAP1,STK11,Both,0.3824613564,1,0.5362888949,rank,cox.zph scaled Schoenfeld-residual test,Efron,0.7776188977,all 29 primary A+B coefficient-level PH tests
cancer-specific_LUSC_KEAP1_STK11_positive,KEAP1–STK11 (LUSC),cancer-specific,LUSC,KEAP1,STK11,GLOBAL,0.8196740181,3,0.844755711,rank,cox.zph scaled Schoenfeld-residual test,Efron,,
cancer-specific_PAAD_KRAS_TP53_positive,KRAS–TP53 (PAAD),cancer-specific,PAAD,KRAS,TP53,A_only,0.4105457173,1,0.5216926507,rank,cox.zph scaled Schoenfeld-residual test,Efron,,
cancer-specific_PAAD_KRAS_TP53_positive,KRAS–TP53 (PAAD),cancer-specific,PAAD,KRAS,TP53,B_only,1.729357456,1,0.1884929772,rank,cox.zph scaled Schoenfeld-residual test,Efron,,
cancer-specific_PAAD_KRAS_TP53_positive,KRAS–TP53 (PAAD),cancer-specific,PAAD,KRAS,TP53,Both,0.6087163232,1,0.4352715469,rank,cox.zph scaled Schoenfeld-residual test,Efron,0.6970326698,all 29 primary A+B coefficient-level PH tests
cancer-specific_PAAD_KRAS_TP53_positive,KRAS–TP53 (PAAD),cancer-specific,PAAD,KRAS,TP53,GLOBAL,2.400551919,3,0.4935318915,rank,cox.zph scaled Schoenfeld-residual test,Efron,,
cancer-specific_COADREAD_KRAS_TP53_positive,KRAS–TP53 (COADREAD),cancer-specific,COADREAD,KRAS,TP53,A_only,0.7830120515,1,0.3762215275,rank,cox.zph scaled Schoenfeld-residual test,Efron,,
cancer-specific_COADREAD_KRAS_TP53_positive,KRAS–TP53 (COADREAD),cancer-specific,COADREAD,KRAS,TP53,B_only,0.9521022273,1,0.3291847701,rank,cox.zph scaled Schoenfeld-residual test,Efron,,
