datasetId,context,scope,cancer,geneA,geneB,horizonMonths,nDoubleNegative,nBoth,nDoubleNegativeAtHorizon,nBothAtHorizon,rmstDoubleNegativeMonths,rmstDoubleNegativeSe,rmstBothMonths,rmstBothSe,rmstDifferenceMonths,standardError,ciLow,ciHigh,p,contrast,estimator,adjustment,fitStatus,fdr,fdrFamily
cancer-specific_LUAD_KEAP1_STK11_positive,KEAP1–STK11 (LUAD),cancer-specific,LUAD,KEAP1,STK11,36,5586,451,1062,42,28.00162955,0.1778783691,18.29820455,0.7474462721,-9.703424992,0.7683206647,-11.20930582,-8.197544161,1.453921731e-36,A+B minus A−/B− restricted mean overall survival,Kaplan–Meier area under the survival curve,descriptive unadjusted genotype-state contrast,estimated,1.163137385e-35,scope=cancer-specific; horizonMonths=36
cancer-specific_LUAD_KEAP1_STK11_positive,KEAP1–STK11 (LUAD),cancer-specific,LUAD,KEAP1,STK11,60,5586,451,290,7,40.72710421,0.3684111935,25.76560795,1.366846522,-14.96149626,1.415625735,-17.73607172,-12.18692081,4.156835538e-26,A+B minus A−/B− restricted mean overall survival,Kaplan–Meier area under the survival curve,descriptive unadjusted genotype-state contrast,estimated,2.216978954e-25,scope=cancer-specific; horizonMonths=60
cancer-specific_LUSC_KEAP1_STK11_positive,KEAP1–STK11 (LUSC),cancer-specific,LUSC,KEAP1,STK11,36,1223,8,215,2,24.46303703,0.4185116697,22.38571976,6.052420958,-2.077317262,6.066873286,-13.9681704,9.813535878,0.7320474268,A+B minus A−/B− restricted mean overall survival,Kaplan–Meier area under the survival curve,descriptive unadjusted genotype-state contrast,estimated,0.7320474268,scope=cancer-specific; horizonMonths=36
cancer-specific_LUSC_KEAP1_STK11_positive,KEAP1–STK11 (LUSC),cancer-specific,LUSC,KEAP1,STK11,60,1223,8,80,0,34.55482793,0.8007950494,29.50067193,9.631658064,-5.054155998,9.664890573,-23.99699343,13.88868144,0.6010161429,A+B minus A−/B− restricted mean overall survival,Kaplan–Meier area under the survival curve,descriptive unadjusted genotype-state contrast,estimated,0.7397121758,scope=cancer-specific; horizonMonths=60
cancer-specific_PAAD_KRAS_TP53_positive,KRAS–TP53 (PAAD),cancer-specific,PAAD,KRAS,TP53,36,725,2258,141,111,28.36595917,0.482769295,17.45301651,0.3051904401,-10.91294266,0.571145688,-12.03236764,-9.793517682,2.203443837e-81,A+B minus A−/B− restricted mean overall survival,Kaplan–Meier area under the survival curve,descriptive unadjusted genotype-state contrast,estimated,3.525510139e-80,scope=cancer-specific; horizonMonths=36
cancer-specific_PAAD_KRAS_TP53_positive,KRAS–TP53 (PAAD),cancer-specific,PAAD,KRAS,TP53,60,725,2258,32,4,41.24557858,1.028742264,20.42225851,0.5059318252,-20.82332007,1.146419494,-23.07026099,-18.57637915,9.988946669e-74,A+B minus A−/B− restricted mean overall survival,Kaplan–Meier area under the survival curve,descriptive unadjusted genotype-state contrast,estimated,1.598231467e-72,scope=cancer-specific; horizonMonths=60
cancer-specific_COADREAD_KRAS_TP53_positive,KRAS–TP53 (COADREAD),cancer-specific,COADREAD,KRAS,TP53,36,932,1409,228,170,30.41256738,0.3819772745,28.40708268,0.3551882962,-2.005484696,0.5215988535,-3.027799663,-0.9831697286,0.0001206117333,A+B minus A−/B− restricted mean overall survival,Kaplan–Meier area under the survival curve,descriptive unadjusted genotype-state contrast,estimated,0.0002144208592,scope=cancer-specific; horizonMonths=36
cancer-specific_COADREAD_KRAS_TP53_positive,KRAS–TP53 (COADREAD),cancer-specific,COADREAD,KRAS,TP53,60,932,1409,92,39,45.90650316,0.8091824487,41.63231534,0.8104164788,-4.274187821,1.145229717,-6.51879682,-2.029578822,0.0001898400547,A+B minus A−/B− restricted mean overall survival,Kaplan–Meier area under the survival curve,descriptive unadjusted genotype-state contrast,estimated,0.0003796801093,scope=cancer-specific; horizonMonths=60
cancer-specific_UCEC_PTEN_PIK3CA_positive,PTEN–PIK3CA (UCEC),cancer-specific,UCEC,PTEN,PIK3CA,36,641,828,125,208,28.59894339,0.5086088878,33.06646257,0.3091817926,4.467519178,0.5952112076,3.300926648,5.634111708,6.106797012e-14,A+B minus A−/B− restricted mean overall survival,Kaplan–Meier area under the survival curve,descriptive unadjusted genotype-state contrast,estimated,1.628479203e-13,scope=cancer-specific; horizonMonths=36
cancer-specific_UCEC_PTEN_PIK3CA_positive,PTEN–PIK3CA (UCEC),cancer-specific,UCEC,PTEN,PIK3CA,60,641,828,22,64,41.77902302,1.081674265,52.50970102,0.7160419793,10.730678,1.297202887,8.188207056,13.27314894,1.315466534e-16,A+B minus A−/B− restricted mean overall survival,Kaplan–Meier area under the survival curve,descriptive unadjusted genotype-state contrast,estimated,4.20949291e-16,scope=cancer-specific; horizonMonths=60
cancer-specific_GBM_IDH1_TP53_positive,IDH1–TP53 (GBM),cancer-specific,GBM,IDH1,TP53,36,1486,59,119,10,18.39762908,0.3326453081,26.03198604,1.815269358,7.634356952,1.84549607,4.017251121,11.25146278,3.522586316e-05,A+B minus A−/B− restricted mean overall survival,Kaplan–Meier area under the survival curve,descriptive unadjusted genotype-state contrast,estimated,7.045172633e-05,scope=cancer-specific; horizonMonths=36
cancer-specific_GBM_IDH1_TP53_positive,IDH1–TP53 (GBM),cancer-specific,GBM,IDH1,TP53,60,1486,59,32,3,21.81458914,0.5567209819,34.03376165,3.403396091,12.2191725,3.448629178,5.459983517,18.97836149,0.0003953073076,A+B minus A−/B− restricted mean overall survival,Kaplan–Meier area under the survival curve,descriptive unadjusted genotype-state contrast,estimated,0.0007027685469,scope=cancer-specific; horizonMonths=60
cancer-specific_BRCA_PIK3CA_TP53_positive,PIK3CA–TP53 (BRCA),cancer-specific,BRCA,PIK3CA,TP53,36,3241,937,1472,306,33.05888977,0.1464507886,28.33305569,0.4082019635,-4.725834075,0.4336780793,-5.575827492,-3.875840659,1.189873681e-27,A+B minus A−/B− restricted mean overall survival,Kaplan–Meier area under the survival curve,descriptive unadjusted genotype-state contrast,estimated,6.345992963e-27,scope=cancer-specific; horizonMonths=36
cancer-specific_BRCA_PIK3CA_TP53_positive,PIK3CA–TP53 (BRCA),cancer-specific,BRCA,PIK3CA,TP53,60,3241,937,740,143,51.8026359,0.3255314872,41.23682916,0.8004465848,-10.56580674,0.8641096482,-12.25943053,-8.872182951,2.219528361e-34,A+B minus A−/B− restricted mean overall survival,Kaplan–Meier area under the survival curve,descriptive unadjusted genotype-state contrast,estimated,1.775622689e-33,scope=cancer-specific; horizonMonths=60
cancer-specific_LUAD_EGFR_KRAS_positive,EGFR–KRAS (LUAD),cancer-specific,LUAD,EGFR,KRAS,36,2849,36,555,3,26.68509323,0.2632019197,22.55504134,2.797688769,-4.130051889,2.810042294,-9.637633581,1.377529803,0.1416302249,A+B minus A−/B− restricted mean overall survival,Kaplan–Meier area under the survival curve,descriptive unadjusted genotype-state contrast,estimated,0.2060075999,scope=cancer-specific; horizonMonths=36
cancer-specific_LUAD_EGFR_KRAS_positive,EGFR–KRAS (LUAD),cancer-specific,LUAD,EGFR,KRAS,60,2849,36,179,0,38.84294709,0.5232081178,34.16658251,5.376308008,-4.676364583,5.401706632,-15.26351504,5.91078587,0.3866438191,A+B minus A−/B− restricted mean overall survival,Kaplan–Meier area under the survival curve,descriptive unadjusted genotype-state contrast,estimated,0.5155250921,scope=cancer-specific; horizonMonths=60
