scope,cancer,geneA,geneB,geneAFrequency,geneBFrequency,frequencyThreshold,nPatients,nEvents,nDoubleNegative,nBOnly,nAOnly,nDoubleMutant,nStudies,nStrata,eligible,eligibilityRule
cancer-specific,BRCA,CDH1,PIK3CA,0.11323425336164189,0.34158999764095305,0.1,8826,2777,5163,2613,519,531,8,8,True,"both genes meet mutation-frequency threshold; n>=80; events>=20; every genotype group>=20; retained stratum n>=10, events>=2 and >=2 genotype groups"
cancer-specific,BRCA,CDH1,TP53,0.11323425336164189,0.39026499960682554,0.1,8826,2777,4581,3195,867,183,8,8,True,"both genes meet mutation-frequency threshold; n>=80; events>=20; every genotype group>=20; retained stratum n>=10, events>=2 and >=2 genotype groups"
cancer-specific,BRCA,MUC16,PIK3CA,0.12046589018302829,0.326955074875208,0.1,3196,1399,1735,1005,277,179,3,3,True,"both genes meet mutation-frequency threshold; n>=80; events>=20; every genotype group>=20; retained stratum n>=10, events>=2 and >=2 genotype groups"
cancer-specific,BRCA,MUC16,TP53,0.12046589018302829,0.3715474209650582,0.1,3196,1399,1870,870,262,194,3,3,True,"both genes meet mutation-frequency threshold; n>=80; events>=20; every genotype group>=20; retained stratum n>=10, events>=2 and >=2 genotype groups"
cancer-specific,BRCA,PIK3CA,TP53,0.34158999764095305,0.39026499960682554,0.1,8826,2777,3241,2441,2207,937,8,8,True,"both genes meet mutation-frequency threshold; n>=80; events>=20; every genotype group>=20; retained stratum n>=10, events>=2 and >=2 genotype groups"
cancer-specific,COADREAD,APC,ARID1A,0.6854602045353491,0.11409515340151179,0.1,5693,1305,1344,254,3636,459,15,15,True,"both genes meet mutation-frequency threshold; n>=80; events>=20; every genotype group>=20; retained stratum n>=10, events>=2 and >=2 genotype groups"
cancer-specific,COADREAD,APC,BRAF,0.6854602045353491,0.10226767452200979,0.1,5693,1305,1230,368,3804,291,15,15,True,"both genes meet mutation-frequency threshold; n>=80; events>=20; every genotype group>=20; retained stratum n>=10, events>=2 and >=2 genotype groups"
cancer-specific,COADREAD,APC,CSMD3,0.599027409372237,0.10079575596816977,0.1,1269,372,394,58,689,128,7,7,True,"both genes meet mutation-frequency threshold; n>=80; events>=20; every genotype group>=20; retained stratum n>=10, events>=2 and >=2 genotype groups"
cancer-specific,COADREAD,APC,FAT3,0.599027409372237,0.13859416445623343,0.1,1269,372,397,55,676,141,7,7,True,"both genes meet mutation-frequency threshold; n>=80; events>=20; every genotype group>=20; retained stratum n>=10, events>=2 and >=2 genotype groups"
cancer-specific,COADREAD,APC,FAT4,0.599027409372237,0.16511936339522545,0.1,1269,372,376,76,651,166,7,7,True,"both genes meet mutation-frequency threshold; n>=80; events>=20; every genotype group>=20; retained stratum n>=10, events>=2 and >=2 genotype groups"
cancer-specific,COADREAD,APC,FBXW7,0.6854602045353491,0.14824366385060025,0.1,5693,1305,1414,184,3412,683,15,15,True,"both genes meet mutation-frequency threshold; n>=80; events>=20; every genotype group>=20; retained stratum n>=10, events>=2 and >=2 genotype groups"
cancer-specific,COADREAD,APC,KMT2D,0.6867921162935878,0.10951574065816463,0.1,5693,1305,1343,255,3689,406,15,15,True,"both genes meet mutation-frequency threshold; n>=80; events>=20; every genotype group>=20; retained stratum n>=10, events>=2 and >=2 genotype groups"
cancer-specific,COADREAD,APC,KRAS,0.6854602045353491,0.3984882169853268,0.1,5693,1305,1162,436,2243,1852,15,15,True,"both genes meet mutation-frequency threshold; n>=80; events>=20; every genotype group>=20; retained stratum n>=10, events>=2 and >=2 genotype groups"
cancer-specific,COADREAD,APC,LRP1B,0.5963564530289728,0.15452151009657594,0.1,1269,372,396,56,667,150,7,7,True,"both genes meet mutation-frequency threshold; n>=80; events>=20; every genotype group>=20; retained stratum n>=10, events>=2 and >=2 genotype groups"
cancer-specific,COADREAD,APC,MUC16,0.599027409372237,0.15671971706454466,0.1,1269,372,358,94,606,211,7,7,True,"both genes meet mutation-frequency threshold; n>=80; events>=20; every genotype group>=20; retained stratum n>=10, events>=2 and >=2 genotype groups"
cancer-specific,COADREAD,APC,PIK3CA,0.6854602045353491,0.19350822587816807,0.1,5693,1305,1357,241,3184,911,15,15,True,"both genes meet mutation-frequency threshold; n>=80; events>=20; every genotype group>=20; retained stratum n>=10, events>=2 and >=2 genotype groups"
cancer-specific,COADREAD,APC,SMAD4,0.6854602045353491,0.1401511783014673,0.1,5693,1305,1359,239,3542,553,15,15,True,"both genes meet mutation-frequency threshold; n>=80; events>=20; every genotype group>=20; retained stratum n>=10, events>=2 and >=2 genotype groups"
cancer-specific,COADREAD,APC,TP53,0.6854602045353491,0.659670964873277,0.1,5693,1305,705,893,1106,2989,15,15,True,"both genes meet mutation-frequency threshold; n>=80; events>=20; every genotype group>=20; retained stratum n>=10, events>=2 and >=2 genotype groups"
cancer-specific,COADREAD,ARID1A,BRAF,0.11409515340151179,0.10226767452200979,0.1,5663,1291,4488,462,516,197,14,14,True,"both genes meet mutation-frequency threshold; n>=80; events>=20; every genotype group>=20; retained stratum n>=10, events>=2 and >=2 genotype groups"
cancer-specific,COADREAD,ARID1A,CSMD3,0.10433244916003537,0.10079575596816977,0.1,1269,372,992,136,91,50,7,7,True,"both genes meet mutation-frequency threshold; n>=80; events>=20; every genotype group>=20; retained stratum n>=10, events>=2 and >=2 genotype groups"
cancer-specific,COADREAD,ARID1A,FAT3,0.10433244916003537,0.13859416445623343,0.1,1269,372,978,150,95,46,7,7,True,"both genes meet mutation-frequency threshold; n>=80; events>=20; every genotype group>=20; retained stratum n>=10, events>=2 and >=2 genotype groups"
cancer-specific,COADREAD,ARID1A,FAT4,0.10433244916003537,0.16511936339522545,0.1,1269,372,939,189,88,53,7,7,True,"both genes meet mutation-frequency threshold; n>=80; events>=20; every genotype group>=20; retained stratum n>=10, events>=2 and >=2 genotype groups"
cancer-specific,COADREAD,ARID1A,FBXW7,0.11409515340151179,0.14824366385060025,0.1,5693,1305,4322,658,504,209,15,15,True,"both genes meet mutation-frequency threshold; n>=80; events>=20; every genotype group>=20; retained stratum n>=10, events>=2 and >=2 genotype groups"
cancer-specific,COADREAD,ARID1A,KMT2D,0.11415321501828235,0.10951574065816463,0.1,5663,1291,4612,338,390,323,14,14,True,"both genes meet mutation-frequency threshold; n>=80; events>=20; every genotype group>=20; retained stratum n>=10, events>=2 and >=2 genotype groups"
cancer-specific,COADREAD,ARID1A,KRAS,0.11409515340151179,0.3984882169853268,0.1,5693,1305,2935,2045,470,243,15,15,True,"both genes meet mutation-frequency threshold; n>=80; events>=20; every genotype group>=20; retained stratum n>=10, events>=2 and >=2 genotype groups"
cancer-specific,COADREAD,ARID1A,LRP1B,0.10425812115891132,0.15452151009657594,0.1,1269,372,973,155,90,51,7,7,True,"both genes meet mutation-frequency threshold; n>=80; events>=20; every genotype group>=20; retained stratum n>=10, events>=2 and >=2 genotype groups"
cancer-specific,COADREAD,ARID1A,MUC16,0.10433244916003537,0.15671971706454466,0.1,1269,372,889,239,75,66,7,7,True,"both genes meet mutation-frequency threshold; n>=80; events>=20; every genotype group>=20; retained stratum n>=10, events>=2 and >=2 genotype groups"
cancer-specific,COADREAD,ARID1A,PIK3CA,0.11409515340151179,0.19350822587816807,0.1,5663,1291,4066,884,445,268,14,14,True,"both genes meet mutation-frequency threshold; n>=80; events>=20; every genotype group>=20; retained stratum n>=10, events>=2 and >=2 genotype groups"
cancer-specific,COADREAD,ARID1A,SMAD4,0.11409515340151179,0.1401511783014673,0.1,5693,1305,4292,688,609,104,15,15,True,"both genes meet mutation-frequency threshold; n>=80; events>=20; every genotype group>=20; retained stratum n>=10, events>=2 and >=2 genotype groups"
cancer-specific,COADREAD,ARID1A,TP53,0.11409515340151179,0.659670964873277,0.1,5693,1305,1460,3520,351,362,15,15,True,"both genes meet mutation-frequency threshold; n>=80; events>=20; every genotype group>=20; retained stratum n>=10, events>=2 and >=2 genotype groups"
cancer-specific,COADREAD,BRAF,FBXW7,0.10226767452200979,0.14824366385060025,0.1,5693,1305,4337,697,489,170,15,15,True,"both genes meet mutation-frequency threshold; n>=80; events>=20; every genotype group>=20; retained stratum n>=10, events>=2 and >=2 genotype groups"
cancer-specific,COADREAD,BRAF,KMT2D,0.10247034691875502,0.10951574065816463,0.1,5663,1291,4585,419,417,242,14,14,True,"both genes meet mutation-frequency threshold; n>=80; events>=20; every genotype group>=20; retained stratum n>=10, events>=2 and >=2 genotype groups"
cancer-specific,COADREAD,BRAF,KRAS,0.10226767452200979,0.3984882169853268,0.1,5693,1305,2803,2231,602,57,15,15,True,"both genes meet mutation-frequency threshold; n>=80; events>=20; every genotype group>=20; retained stratum n>=10, events>=2 and >=2 genotype groups"
cancer-specific,COADREAD,BRAF,PIK3CA,0.10226767452200979,0.19350822587816807,0.1,5663,1291,4042,962,469,190,14,14,True,"both genes meet mutation-frequency threshold; n>=80; events>=20; every genotype group>=20; retained stratum n>=10, events>=2 and >=2 genotype groups"
cancer-specific,COADREAD,BRAF,SMAD4,0.10226767452200979,0.1401511783014673,0.1,5693,1305,4360,674,541,118,15,15,True,"both genes meet mutation-frequency threshold; n>=80; events>=20; every genotype group>=20; retained stratum n>=10, events>=2 and >=2 genotype groups"
cancer-specific,COADREAD,BRAF,TP53,0.10226767452200979,0.659670964873277,0.1,5693,1305,1525,3509,286,373,15,15,True,"both genes meet mutation-frequency threshold; n>=80; events>=20; every genotype group>=20; retained stratum n>=10, events>=2 and >=2 genotype groups"
cancer-specific,COADREAD,CSMD3,FAT3,0.10079575596816977,0.13859416445623343,0.1,1269,372,964,119,109,77,7,7,True,"both genes meet mutation-frequency threshold; n>=80; events>=20; every genotype group>=20; retained stratum n>=10, events>=2 and >=2 genotype groups"
cancer-specific,COADREAD,CSMD3,FAT4,0.10079575596816977,0.16511936339522545,0.1,1269,372,925,158,102,84,7,7,True,"both genes meet mutation-frequency threshold; n>=80; events>=20; every genotype group>=20; retained stratum n>=10, events>=2 and >=2 genotype groups"
cancer-specific,COADREAD,CSMD3,FBXW7,0.10079575596816977,0.14412024756852343,0.1,1269,372,960,123,136,50,7,7,True,"both genes meet mutation-frequency threshold; n>=80; events>=20; every genotype group>=20; retained stratum n>=10, events>=2 and >=2 genotype groups"
cancer-specific,COADREAD,CSMD3,KMT2C,0.10079575596816977,0.10190097259062776,0.1,1269,372,1017,66,131,55,7,7,True,"both genes meet mutation-frequency threshold; n>=80; events>=20; every genotype group>=20; retained stratum n>=10, events>=2 and >=2 genotype groups"
cancer-specific,COADREAD,CSMD3,KMT2D,0.10079575596816977,0.10809018567639257,0.1,1269,372,998,85,125,61,7,7,True,"both genes meet mutation-frequency threshold; n>=80; events>=20; every genotype group>=20; retained stratum n>=10, events>=2 and >=2 genotype groups"
cancer-specific,COADREAD,CSMD3,KRAS,0.10079575596816977,0.34880636604774534,0.1,1269,372,697,386,129,57,7,7,True,"both genes meet mutation-frequency threshold; n>=80; events>=20; every genotype group>=20; retained stratum n>=10, events>=2 and >=2 genotype groups"
cancer-specific,COADREAD,CSMD3,LRP1B,0.10079575596816977,0.15318302387267904,0.1,1269,372,939,144,124,62,7,7,True,"both genes meet mutation-frequency threshold; n>=80; events>=20; every genotype group>=20; retained stratum n>=10, events>=2 and >=2 genotype groups"
cancer-specific,COADREAD,CSMD3,MUC16,0.10079575596816977,0.15671971706454466,0.1,1269,372,875,208,89,97,7,7,True,"both genes meet mutation-frequency threshold; n>=80; events>=20; every genotype group>=20; retained stratum n>=10, events>=2 and >=2 genotype groups"
cancer-specific,COADREAD,CSMD3,PIK3CA,0.10079575596816977,0.1832449160035367,0.1,1269,372,894,189,130,56,7,7,True,"both genes meet mutation-frequency threshold; n>=80; events>=20; every genotype group>=20; retained stratum n>=10, events>=2 and >=2 genotype groups"
cancer-specific,COADREAD,CSMD3,SMAD4,0.10079575596816977,0.1317418213969938,0.1,1269,372,966,117,159,27,7,7,True,"both genes meet mutation-frequency threshold; n>=80; events>=20; every genotype group>=20; retained stratum n>=10, events>=2 and >=2 genotype groups"
cancer-specific,COADREAD,CSMD3,TP53,0.10079575596816977,0.5523872679045093,0.1,1269,372,535,548,103,83,7,7,True,"both genes meet mutation-frequency threshold; n>=80; events>=20; every genotype group>=20; retained stratum n>=10, events>=2 and >=2 genotype groups"
cancer-specific,COADREAD,FAT3,FAT4,0.13859416445623343,0.16511936339522545,0.1,1269,372,915,158,112,84,7,7,True,"both genes meet mutation-frequency threshold; n>=80; events>=20; every genotype group>=20; retained stratum n>=10, events>=2 and >=2 genotype groups"
cancer-specific,COADREAD,FAT3,FBXW7,0.13859416445623343,0.14412024756852343,0.1,1269,372,942,131,154,42,7,7,True,"both genes meet mutation-frequency threshold; n>=80; events>=20; every genotype group>=20; retained stratum n>=10, events>=2 and >=2 genotype groups"
cancer-specific,COADREAD,FAT3,KMT2C,0.13859416445623343,0.10190097259062776,0.1,1269,372,999,74,149,47,7,7,True,"both genes meet mutation-frequency threshold; n>=80; events>=20; every genotype group>=20; retained stratum n>=10, events>=2 and >=2 genotype groups"
cancer-specific,COADREAD,FAT3,KMT2D,0.13859416445623343,0.10809018567639257,0.1,1269,372,989,84,134,62,7,7,True,"both genes meet mutation-frequency threshold; n>=80; events>=20; every genotype group>=20; retained stratum n>=10, events>=2 and >=2 genotype groups"
cancer-specific,COADREAD,FAT3,KRAS,0.13859416445623343,0.34880636604774534,0.1,1269,372,700,373,126,70,7,7,True,"both genes meet mutation-frequency threshold; n>=80; events>=20; every genotype group>=20; retained stratum n>=10, events>=2 and >=2 genotype groups"
cancer-specific,COADREAD,FAT3,LRP1B,0.13859416445623343,0.15318302387267904,0.1,1269,372,922,151,141,55,7,7,True,"both genes meet mutation-frequency threshold; n>=80; events>=20; every genotype group>=20; retained stratum n>=10, events>=2 and >=2 genotype groups"
cancer-specific,COADREAD,FAT3,MUC16,0.13859416445623343,0.15671971706454466,0.1,1269,372,854,219,110,86,7,7,True,"both genes meet mutation-frequency threshold; n>=80; events>=20; every genotype group>=20; retained stratum n>=10, events>=2 and >=2 genotype groups"
cancer-specific,COADREAD,FAT3,PIK3CA,0.13859416445623343,0.1832449160035367,0.1,1269,372,889,184,135,61,7,7,True,"both genes meet mutation-frequency threshold; n>=80; events>=20; every genotype group>=20; retained stratum n>=10, events>=2 and >=2 genotype groups"
cancer-specific,COADREAD,FAT3,SMAD4,0.13859416445623343,0.1317418213969938,0.1,1269,372,958,115,167,29,7,7,True,"both genes meet mutation-frequency threshold; n>=80; events>=20; every genotype group>=20; retained stratum n>=10, events>=2 and >=2 genotype groups"
cancer-specific,COADREAD,FAT3,TP53,0.13859416445623343,0.5523872679045093,0.1,1269,372,553,520,85,111,7,7,True,"both genes meet mutation-frequency threshold; n>=80; events>=20; every genotype group>=20; retained stratum n>=10, events>=2 and >=2 genotype groups"
cancer-specific,COADREAD,FAT4,FBXW7,0.16511936339522545,0.14412024756852343,0.1,1269,372,920,107,176,66,7,7,True,"both genes meet mutation-frequency threshold; n>=80; events>=20; every genotype group>=20; retained stratum n>=10, events>=2 and >=2 genotype groups"
cancer-specific,COADREAD,FAT4,KMT2C,0.16511936339522545,0.10190097259062776,0.1,1269,372,962,65,186,56,7,7,True,"both genes meet mutation-frequency threshold; n>=80; events>=20; every genotype group>=20; retained stratum n>=10, events>=2 and >=2 genotype groups"
cancer-specific,COADREAD,FAT4,KMT2D,0.16511936339522545,0.10809018567639257,0.1,1269,372,957,70,166,76,7,7,True,"both genes meet mutation-frequency threshold; n>=80; events>=20; every genotype group>=20; retained stratum n>=10, events>=2 and >=2 genotype groups"
cancer-specific,COADREAD,FAT4,KRAS,0.16511936339522545,0.34880636604774534,0.1,1269,372,668,359,158,84,7,7,True,"both genes meet mutation-frequency threshold; n>=80; events>=20; every genotype group>=20; retained stratum n>=10, events>=2 and >=2 genotype groups"
cancer-specific,COADREAD,FAT4,LRP1B,0.16511936339522545,0.15318302387267904,0.1,1269,372,890,137,173,69,7,7,True,"both genes meet mutation-frequency threshold; n>=80; events>=20; every genotype group>=20; retained stratum n>=10, events>=2 and >=2 genotype groups"
cancer-specific,COADREAD,FAT4,MUC16,0.16511936339522545,0.15671971706454466,0.1,1269,372,838,189,126,116,7,7,True,"both genes meet mutation-frequency threshold; n>=80; events>=20; every genotype group>=20; retained stratum n>=10, events>=2 and >=2 genotype groups"
cancer-specific,COADREAD,FAT4,PIK3CA,0.16511936339522545,0.1832449160035367,0.1,1269,372,858,169,166,76,7,7,True,"both genes meet mutation-frequency threshold; n>=80; events>=20; every genotype group>=20; retained stratum n>=10, events>=2 and >=2 genotype groups"
cancer-specific,COADREAD,FAT4,SMAD4,0.16511936339522545,0.1317418213969938,0.1,1269,372,929,98,196,46,7,7,True,"both genes meet mutation-frequency threshold; n>=80; events>=20; every genotype group>=20; retained stratum n>=10, events>=2 and >=2 genotype groups"
cancer-specific,COADREAD,FAT4,TP53,0.16511936339522545,0.5523872679045093,0.1,1269,372,509,518,129,113,7,7,True,"both genes meet mutation-frequency threshold; n>=80; events>=20; every genotype group>=20; retained stratum n>=10, events>=2 and >=2 genotype groups"
cancer-specific,COADREAD,FBXW7,KMT2D,0.14839917952376705,0.10951574065816463,0.1,5693,1305,4389,437,643,224,15,15,True,"both genes meet mutation-frequency threshold; n>=80; events>=20; every genotype group>=20; retained stratum n>=10, events>=2 and >=2 genotype groups"
cancer-specific,COADREAD,FBXW7,KRAS,0.14824366385060025,0.3984882169853268,0.1,5693,1305,2950,1876,455,412,15,15,True,"both genes meet mutation-frequency threshold; n>=80; events>=20; every genotype group>=20; retained stratum n>=10, events>=2 and >=2 genotype groups"
cancer-specific,COADREAD,FBXW7,LRP1B,0.14376646180860403,0.15452151009657594,0.1,1269,372,931,165,132,41,7,7,True,"both genes meet mutation-frequency threshold; n>=80; events>=20; every genotype group>=20; retained stratum n>=10, events>=2 and >=2 genotype groups"
cancer-specific,COADREAD,FBXW7,MUC16,0.14412024756852343,0.15671971706454466,0.1,1269,372,867,229,97,76,7,7,True,"both genes meet mutation-frequency threshold; n>=80; events>=20; every genotype group>=20; retained stratum n>=10, events>=2 and >=2 genotype groups"
cancer-specific,COADREAD,FBXW7,PIK3CA,0.14824366385060025,0.19350822587816807,0.1,5693,1305,3955,871,586,281,15,15,True,"both genes meet mutation-frequency threshold; n>=80; events>=20; every genotype group>=20; retained stratum n>=10, events>=2 and >=2 genotype groups"
cancer-specific,COADREAD,FBXW7,SMAD4,0.14824366385060025,0.1401511783014673,0.1,5693,1305,4155,671,746,121,15,15,True,"both genes meet mutation-frequency threshold; n>=80; events>=20; every genotype group>=20; retained stratum n>=10, events>=2 and >=2 genotype groups"
cancer-specific,COADREAD,FBXW7,TP53,0.14824366385060025,0.659670964873277,0.1,5693,1305,1504,3322,307,560,15,15,True,"both genes meet mutation-frequency threshold; n>=80; events>=20; every genotype group>=20; retained stratum n>=10, events>=2 and >=2 genotype groups"
