context,scope,cancer,geneA,geneB,model,varianceEstimator,adjustmentTerms,nPatients,nEvents,nStudies,nStrata,coefficient,standardError,hazardRatio,ciLow,ciHigh,p,fdr,fitStatus
BRAF–KRAS (COADREAD),cancer-specific,COADREAD,BRAF,KRAS,four-group age/sex complete-case,model-based,standardised age + recorded sex,845,158,5,5,1.008425131,0.5977731523,2.741280457,0.8494308703,8.846651103,0.09160919895,0.2093924547,estimated
BRAF–KRAS (COADREAD),cancer-specific,COADREAD,BRAF,KRAS,four-group primary,model-based,none,5693,1305,15,15,0.1765836015,0.2718156362,1.19313417,0.7003568726,2.032633939,0.5159217188,0.5503165,estimated
BRAF–KRAS (COADREAD),cancer-specific,COADREAD,BRAF,KRAS,four-group study-clustered sensitivity,study-clustered sandwich,none,5693,1305,15,15,0.1765836015,0.2465702698,1.19313417,0.7358821856,1.934506877,0.4738929668,0.4738929668,estimated
BRAF–KRAS (COADREAD),cancer-specific,COADREAD,BRAF,KRAS,four-group zero-time sensitivity,model-based,none,5738,1325,15,15,0.171004202,0.2717629426,1.186495735,0.6965321149,2.021115894,0.5291917334,0.5873365702,estimated
BRAF–KRAS (COADREAD),cancer-specific,COADREAD,BRAF,KRAS,four-group zero-time study-clustered sensitivity,study-clustered sandwich,none,5738,1325,15,15,0.171004202,0.2442727322,1.186495735,0.7350905754,1.915100228,0.4838933292,0.4838933292,estimated
BRAF–NRAS (SKCM),cancer-specific,SKCM,BRAF,NRAS,four-group age/sex complete-case,model-based,standardised age + recorded sex,624,329,4,4,-0.06186496412,0.2968439551,0.9400098133,0.5253616349,1.681924203,0.8349095973,0.8905702372,estimated
BRAF–NRAS (SKCM),cancer-specific,SKCM,BRAF,NRAS,four-group primary,model-based,none,2432,932,15,15,0.2468350047,0.1746757185,1.279967907,0.9088973545,1.802533404,0.1576250662,0.2522001059,estimated
BRAF–NRAS (SKCM),cancer-specific,SKCM,BRAF,NRAS,four-group study-clustered sensitivity,study-clustered sandwich,none,2432,932,15,15,0.2468350047,0.1500443392,1.279967907,0.9538522476,1.717580313,0.09995322763,0.1332709702,estimated
BRAF–NRAS (SKCM),cancer-specific,SKCM,BRAF,NRAS,four-group zero-time sensitivity,model-based,none,2441,937,15,15,0.2451231777,0.1746216515,1.277778697,0.907438966,1.799259742,0.1603966609,0.2566346575,estimated
BRAF–NRAS (SKCM),cancer-specific,SKCM,BRAF,NRAS,four-group zero-time study-clustered sensitivity,study-clustered sandwich,none,2441,937,15,15,0.2451231777,0.1488578737,1.277778697,0.9544377136,1.710659979,0.09962122021,0.1328282936,estimated
