datasetId,context,scope,cancer,geneA,geneB,nInformativeStudies,fixedCoefficient,fixedStandardError,fixedHazardRatio,fixedCiLow,fixedCiHigh,fixedP,randomCoefficient,randomStandardError,randomHazardRatio,randomCiLow,randomCiHigh,randomP,tauSquared,cochranQ,cochranQDf,cochranQP,iSquaredPercent,predictionLow,predictionHigh,contrast,studyEstimator,poolingMethod,fdr,fdrFamily
cancer-specific_LUAD_KEAP1_STK11_positive,KEAP1–STK11 (LUAD),cancer-specific,LUAD,KEAP1,STK11,11,0.9414080302,0.07107211634,2.563588488,2.230240087,2.946761641,4.77081245e-40,0.9478329637,0.115795742,2.580112399,2.056236725,3.237457979,2.714299243e-16,0.05002369876,17.36890881,10,0.06658923021,42.42585926,1.574914117,4.226884452,A+B versus A−/B−,within-study Cox model,DerSimonian–Laird random-effects and inverse-variance fixed-effect,2.035724432e-15,scope=cancer-specific
cancer-specific_LUSC_KEAP1_STK11_positive,KEAP1–STK11 (LUSC),cancer-specific,LUSC,KEAP1,STK11,2,0.6289634517,0.581031128,1.875665354,0.6005936879,5.857738084,0.279032513,0.4810486515,0.8683777148,1.61776999,0.2949526646,8.873219518,0.5796045403,0.7910842185,2.044803618,1,0.1527266916,51.09554819,0.1415252257,18.49267314,A+B versus A−/B−,within-study Cox model,DerSimonian–Laird random-effects and inverse-variance fixed-effect,0.6687744696,scope=cancer-specific
cancer-specific_PAAD_KRAS_TP53_positive,KRAS–TP53 (PAAD),cancer-specific,PAAD,KRAS,TP53,8,1.039247994,0.08756234789,2.827090227,2.381258063,3.356393527,1.721976462e-32,0.813356972,0.1792482557,2.255466831,1.587303789,3.20488785,5.689792086e-06,0.1590745038,22.95078636,7,0.001738572512,69.49995573,0.9572649146,5.31423491,A+B versus A−/B−,within-study Cox model,DerSimonian–Laird random-effects and inverse-variance fixed-effect,1.706937626e-05,scope=cancer-specific
cancer-specific_COADREAD_KRAS_TP53_positive,KRAS–TP53 (COADREAD),cancer-specific,COADREAD,KRAS,TP53,9,0.1829557362,0.09826045699,1.200761257,0.9904150111,1.455781243,0.06261059981,0.1829557362,0.09826045699,1.200761257,0.9904150111,1.455781243,0.06261059981,0,7.640023966,8,0.4693992973,0,0.9904150111,1.455781243,A+B versus A−/B−,within-study Cox model,DerSimonian–Laird random-effects and inverse-variance fixed-effect,0.1045135045,scope=cancer-specific
cancer-specific_UCEC_PTEN_PIK3CA_positive,PTEN–PIK3CA (UCEC),cancer-specific,UCEC,PTEN,PIK3CA,4,-1.061001929,0.1353645775,0.3461088599,0.2654545535,0.4512687438,4.573922455e-15,-0.8273394609,0.3490457576,0.4372109572,0.2205884403,0.8665613702,0.01777416647,0.3160254631,10.68003819,3,0.01358803417,71.91021281,0.1195208218,1.599331549,A+B versus A−/B−,within-study Cox model,DerSimonian–Laird random-effects and inverse-variance fixed-effect,0.03808749958,scope=cancer-specific
cancer-specific_GBM_IDH1_TP53_positive,IDH1–TP53 (GBM),cancer-specific,GBM,IDH1,TP53,5,-0.657083133,0.2145639169,0.5183611219,0.3404044932,0.7893499001,0.002195609573,-0.5531015201,0.2971658201,0.575163161,0.3212499415,1.029767228,0.06270810268,0.1666379768,6.604472789,4,0.1583256304,39.43498402,0.2137968426,1.547322485,A+B versus A−/B−,within-study Cox model,DerSimonian–Laird random-effects and inverse-variance fixed-effect,0.1045135045,scope=cancer-specific
cancer-specific_BRCA_PIK3CA_TP53_positive,PIK3CA–TP53 (BRCA),cancer-specific,BRCA,PIK3CA,TP53,6,0.745201003,0.06231230975,2.106864879,1.864645809,2.380548411,5.816825443e-33,0.7019647647,0.1390270354,2.017713147,1.536453414,2.649716749,4.438401928e-07,0.06850197474,16.75133982,5,0.004996348849,70.15164128,1.128744251,3.60681026,A+B versus A−/B−,within-study Cox model,DerSimonian–Laird random-effects and inverse-variance fixed-effect,1.664400723e-06,scope=cancer-specific
cancer-specific_LUAD_EGFR_KRAS_positive,EGFR–KRAS (LUAD),cancer-specific,LUAD,EGFR,KRAS,3,0.6008217062,0.3265625649,1.823616662,0.9615303398,3.458630053,0.06579225408,0.8804379854,0.6587012349,2.411955877,0.6632570135,8.771156629,0.1813443568,0.9282676599,7.233232624,2,0.0268734542,72.34984544,0.2448613061,23.75847472,A+B versus A−/B−,within-study Cox model,DerSimonian–Laird random-effects and inverse-variance fixed-effect,0.2472877593,scope=cancer-specific
cancer-specific_LUAD_KRAS_TP53_positive,KRAS–TP53 (LUAD),cancer-specific,LUAD,KRAS,TP53,12,0.5061505233,0.07710195893,1.658893018,1.426228376,1.929512897,5.214092857e-11,0.5061505233,0.07710195893,1.658893018,1.426228376,1.929512897,5.214092857e-11,0,6.954133603,11,0.8027855943,0,1.426228376,1.929512897,A+B versus A−/B−,within-study Cox model,DerSimonian–Laird random-effects and inverse-variance fixed-effect,2.607046428e-10,scope=cancer-specific
cancer-specific_LUAD_STK11_TP53_positive,STK11–TP53 (LUAD),cancer-specific,LUAD,STK11,TP53,10,0.8605924297,0.09334130458,2.364561115,1.969238332,2.839244583,2.975279333e-20,0.8605924297,0.09334130458,2.364561115,1.969238332,2.839244583,2.975279333e-20,0,6.019966358,9,0.7379183192,0,1.969238332,2.839244583,A+B versus A−/B−,within-study Cox model,DerSimonian–Laird random-effects and inverse-variance fixed-effect,4.462918999e-19,scope=cancer-specific
