datasetId,context,scope,cancer,geneA,geneB,studyId,nPatients,nEvents,nBoth,nDoubleNegative,nCancerGroups,coefficient,standardError,hazardRatio,ciLow,ciHigh,p,contrast,model,tiesMethod,fitStatus
cancer-specific_LUAD_KEAP1_STK11_positive,KEAP1–STK11 (LUAD),cancer-specific,LUAD,KEAP1,STK11,bm_nsclc_mskcc_2023,94,50,12,82,1,0.6467180919,0.389791303,1.909264505,0.8893549774,4.098803113,0.09708771414,A+B versus A−/B−,within-study Cox model,Efron,estimated
cancer-specific_LUAD_KEAP1_STK11_positive,KEAP1–STK11 (LUAD),cancer-specific,LUAD,KEAP1,STK11,luad_cas_2020,97,25,1,96,1,,,,,,,A+B versus A−/B−,within-study Cox model,Efron,insufficient direct-contrast sample/event count
cancer-specific_LUAD_KEAP1_STK11_positive,KEAP1–STK11 (LUAD),cancer-specific,LUAD,KEAP1,STK11,luad_cptac_gdc,45,44,2,43,1,,,,,,,A+B versus A−/B−,within-study Cox model,Efron,insufficient direct-contrast sample/event count
cancer-specific_LUAD_KEAP1_STK11_positive,KEAP1–STK11 (LUAD),cancer-specific,LUAD,KEAP1,STK11,luad_mskcc_2020,402,27,31,371,1,-0.3098801514,0.7355585804,0.7335348641,0.1735050666,3.101197027,0.6735466299,A+B versus A−/B−,within-study Cox model,Efron,estimated
cancer-specific_LUAD_KEAP1_STK11_positive,KEAP1–STK11 (LUAD),cancer-specific,LUAD,KEAP1,STK11,luad_mskcc_2023_met_organotropism,45,18,4,41,1,0.8484495684,0.6465729363,2.3360222,0.6578291051,8.295467132,0.1894440219,A+B versus A−/B−,within-study Cox model,Efron,estimated
cancer-specific_LUAD_KEAP1_STK11_positive,KEAP1–STK11 (LUAD),cancer-specific,LUAD,KEAP1,STK11,luad_mskimpact_2021,44,25,0,44,1,,,,,,,A+B versus A−/B−,within-study Cox model,Efron,insufficient direct-contrast sample/event count
cancer-specific_LUAD_KEAP1_STK11_positive,KEAP1–STK11 (LUAD),cancer-specific,LUAD,KEAP1,STK11,luad_oncosg_2020,288,84,5,283,1,1.489012745,0.5937927328,4.432717134,1.384307998,14.19408197,0.01215437043,A+B versus A−/B−,within-study Cox model,Efron,estimated
cancer-specific_LUAD_KEAP1_STK11_positive,KEAP1–STK11 (LUAD),cancer-specific,LUAD,KEAP1,STK11,luad_tcga_pan_can_atlas_2018,385,132,24,361,1,0.4109357801,0.3157891541,1.508228495,0.8122073708,2.800704937,0.1931564874,A+B versus A−/B−,within-study Cox model,Efron,estimated
cancer-specific_LUAD_KEAP1_STK11_positive,KEAP1–STK11 (LUAD),cancer-specific,LUAD,KEAP1,STK11,lung_nci_2022,201,53,0,201,1,,,,,,,A+B versus A−/B−,within-study Cox model,Efron,insufficient direct-contrast sample/event count
cancer-specific_LUAD_KEAP1_STK11_positive,KEAP1–STK11 (LUAD),cancer-specific,LUAD,KEAP1,STK11,mixed_allen_2018,19,13,3,16,1,,,,,,,A+B versus A−/B−,within-study Cox model,Efron,insufficient direct-contrast sample/event count
cancer-specific_LUAD_KEAP1_STK11_positive,KEAP1–STK11 (LUAD),cancer-specific,LUAD,KEAP1,STK11,msk_access_2021,167,75,16,151,1,1.329496611,0.3547136548,3.779140529,1.885646292,7.574009613,0.0001781905088,A+B versus A−/B−,within-study Cox model,Efron,estimated
