datasetId,context,scope,cancer,geneA,geneB,eventTimeMonths,transformedTime,coefficient,ciHighCoefficient,ciLowCoefficient,hazardRatio,ciLow,ciHigh,splineDegreesFreedom,diagnostic
cancer-specific_LUAD_KEAP1_STK11_positive,KEAP1–STK11 (LUAD),cancer-specific,LUAD,KEAP1,STK11,0.03,1,1.61777034,2.064203721,1.171336959,5.041836193,3.226303191,7.879021498,4,natural-spline smooth of scaled Schoenfeld beta(t)
cancer-specific_LUAD_KEAP1_STK11_positive,KEAP1–STK11 (LUAD),cancer-specific,LUAD,KEAP1,STK11,0.2362533333,70.86868687,1.592557333,2.009926942,1.175187723,4.916305494,3.238750875,7.462772112,4,natural-spline smooth of scaled Schoenfeld beta(t)
cancer-specific_LUAD_KEAP1_STK11_positive,KEAP1–STK11 (LUAD),cancer-specific,LUAD,KEAP1,STK11,0.4904424242,140.7373737,1.567369221,1.956481053,1.178257388,4.794019582,3.248708031,7.074388814,4,natural-spline smooth of scaled Schoenfeld beta(t)
cancer-specific_LUAD_KEAP1_STK11_positive,KEAP1–STK11 (LUAD),cancer-specific,LUAD,KEAP1,STK11,0.7230423856,210.6060606,1.5422309,1.904119525,1.180342275,4.675008121,3.255488284,6.713493958,4,natural-spline smooth of scaled Schoenfeld beta(t)
cancer-specific_LUAD_KEAP1_STK11_positive,KEAP1–STK11 (LUAD),cancer-specific,LUAD,KEAP1,STK11,0.9858668153,280.4747475,1.517167265,1.853121539,1.181212991,4.55929162,3.258324124,6.379702966,4,natural-spline smooth of scaled Schoenfeld beta(t)
cancer-specific_LUAD_KEAP1_STK11_positive,KEAP1–STK11 (LUAD),cancer-specific,LUAD,KEAP1,STK11,1.183197509,350.3434343,1.492203212,1.803794568,1.180611856,4.446882158,3.256366021,6.072646871,4,natural-spline smooth of scaled Schoenfeld beta(t)
cancer-specific_LUAD_KEAP1_STK11_positive,KEAP1–STK11 (LUAD),cancer-specific,LUAD,KEAP1,STK11,1.481131313,420.2121212,1.467363636,1.756474338,1.178252934,4.337784075,3.248693559,5.79198079,4,natural-spline smooth of scaled Schoenfeld beta(t)
cancer-specific_LUAD_KEAP1_STK11_positive,KEAP1–STK11 (LUAD),cancer-specific,LUAD,KEAP1,STK11,1.775505051,490.0808081,1.442673432,1.711519447,1.173827418,4.231994659,3.234348182,5.537368825,4,natural-spline smooth of scaled Schoenfeld beta(t)
cancer-specific_LUAD_KEAP1_STK11_positive,KEAP1–STK11 (LUAD),cancer-specific,LUAD,KEAP1,STK11,2.038353254,559.9494949,1.418157497,1.669296744,1.16701825,4.129504801,3.212399771,5.308433295,4,natural-spline smooth of scaled Schoenfeld beta(t)
cancer-specific_LUAD_KEAP1_STK11_positive,KEAP1–STK11 (LUAD),cancer-specific,LUAD,KEAP1,STK11,2.365511092,629.8181818,1.393840725,1.630153458,1.157527992,4.030299636,3.182057473,5.104658007,4,natural-spline smooth of scaled Schoenfeld beta(t)
cancer-specific_LUAD_KEAP1_STK11_positive,KEAP1–STK11 (LUAD),cancer-specific,LUAD,KEAP1,STK11,2.654368553,699.6868687,1.369748011,1.594374445,1.145121578,3.934359156,3.14282343,4.925247095,4,natural-spline smooth of scaled Schoenfeld beta(t)
cancer-specific_LUAD_KEAP1_STK11_positive,KEAP1–STK11 (LUAD),cancer-specific,LUAD,KEAP1,STK11,2.994044444,769.5555556,1.345904252,1.562129542,1.129678962,3.841658798,3.094662835,4.768966153,4,natural-spline smooth of scaled Schoenfeld beta(t)
cancer-specific_LUAD_KEAP1_STK11_positive,KEAP1–STK11 (LUAD),cancer-specific,LUAD,KEAP1,STK11,3.324016835,839.4242424,1.322334342,1.533425271,1.111243413,3.752170011,3.038133703,4.63402245,4,natural-spline smooth of scaled Schoenfeld beta(t)
